ward_no,zone,name,party,address,contact
70,6,SRI URUKUTI RAMACHANDRARAO,YSRCP,"D.NO:8-13-17/1, Gokul Nagar, Old Gajuwaka, Visakhapatnam-530026",
71,6,SRI RAJANA RAMA RAO,YSRCP,"D.No.26-9-36, China Gantayada, SC Colony, Gajuwaka, Vizag-26",
72,6,SRI APPARI JOSEPH STALIN,CPI,"D.No.26-30-4, Chaitanyanagar, Gajuwaka, Visakhapatnam-530026",
73,6,SMT. BHUPATHIRAJU SUJATHA,YSRCP,"D.No.24-81-5/1, Sanathnagar, Near Sloka School, Gajuwaka, Visakhapatnam-530026",
74,6,SRI TIPPALA VAMSI REDDY,YSRCP,"D.No.22-89-7, Siddeswaram, Pedhagantyada, Gajuwaka, Visakhapatnam-530044",
75,6,SMT. PULI LAKSHMIBAI,TDP,"D.No.20-18-02, Nellimukku, Pedhagantyada, RH Colony, Visakhapatnam-530044",
76,6,SRI SRINIVASA RAO GANDHAM,TDP,"D.No. 14-6-20/5, Wilimms Gardens, BC Road, Gajuwaka, VSP-26",
77,6,SMT. BATTU SURYA KUMARI,YSRCP,"D.No.7-97, Battu Doddi, Pittavanipalem, VSP",
78,6,DR BODDU GANGARAO,CPI(M),"D.NO.9-37-15, Pithapuram Colony, Visakhapatnam-530003",
79,6,SRI ROUTHU SRINIVASU,TDP,"D.NO.12-30, Vinayaka Nagar, Lankelapalem, Parvada Mandal, VSP-19",
80,7,SMT. NEELIMA KONATHALA,YSRCP,"D.NO.17-2-14, Karripeddayya Gari Veedhi, Gavarapalem, Anakapalli, VSP-531002",
81,7,SMT. PEELA LAKSHMI SOWJANYA,YSRCP,"D.NO.15-19-10, Womens College Veedhi, Gavarapalem, Anakapalli, VSP-531002",
82,7,SMT. SUNEETHA MANDAPATI,YSRCP,"D.NO.3-3-65, Narasingaraopeta, Anakapalli, Visakhapatnam-531001",
83,7,SMT. JAJULA PRASANNALAKSHMI,YSRCP,"D.NO.4-9-16, Miriyala Colony, Anakapalli, VSP Dist. Pin 531001",
84,7,SMT. MADAMSETTY CHINATHALLI,TDP,"D.NO.1-56, China Tadi, Parawada, VSP Dist. Pin 531001",
85,6,SMT. ILLAPU VARA LAKSHMI,YSRCP,"Plot Num:166-167 Pharmacity Colony, Lemarthy Agraharam, Aganampudi, Vizag-530046",
86,6,SRI LELLA KOTESWARA RAO,TDP,"D.NO.31-6-11, Shathavahana Nagar, Kurmannapalem, Vadlapudi, Vizag-46",
87,6,SRI BONDA JAGANNADHAM,TDP,"D.NO.28-15-9, RH Colony, Vadlapudi (Post), Visakhapatnam-530046",
88,6,SRI MOLLI MUTYALU,TDP,"D.NO.2-101, Vedula Narava, Sabbavaram(M), Visakhapatnam-530046",
89,8,SRI DADI VENKATA RAMESWARA RAO,TDP,"D.NO.3-20/1, Kotha Palem, Gopalpatnam, Visakhapatnam-530027",
90,8,SRI BOMMIDI RAMANA,TDP,"D.NO.58-21-5/1, Plot No.TF-1, Surya Sundara Enclave, APSEB Colony, Butchiraju Palem, Visakhapatnam-530027",
91,8,SMT. KUNCHE JOTHSNA,YSRCP,"D.NO.38-20-43/3, 104 Area, Marripalem, Visakhapatnam-530018",
92,8,SMT. BEHARA VENKATA SWARNA LATHA SIVA DEVI,YSRCP,"D.NO.14-7, R.R.V.Puram, Gopalapatnam, Visakhapatnam, AP, Pin 530029",
93,8,SRI RAPARTHI TRIVENI VARA PRASAD RAO,TDP,"D.NO.8-58, Naidu Thota, Vepagunta Post, Pendurthi, Visakhapatnam, AP-530047",
94,8,SRI BALLA SRINIVASA RAO,TDP,"D.NO.4-29, Balla Street, Vepagunta, Visakhapatnam-530047",
95,8,SRI MUMMANA DEMUDU,YSRCP,"D.NO. 10-156, Savitri Nagar, Chinnamusidiwad, Pendurthi, Visakhapatnam",
96,8,SRI PEELA SRINIVASA RAO,TDP,"D.NO. 1-89-3, Brahmana Veedi, Near Ramalayam, Pendurthi, Visakhapatnam",
97,8,SMT. SENAPATHI VASATHA,TDP,"D.NO. 10-150/5, Savitri Nagar, Chinnamusidiwada, Pendurthi, Visakhapatnam",
98,8,SRI PISINI VARAHA NARASIMHAM,TDP,"D.NO.3-219, Kapu Veedi, Adavi Varam, Simhachalam, Visakhapatnam",
