ward_number,ward_name,ward_reservation,councillor_name,party,party_full,votes,vote_share_pct,contact,term,source,note
30,Dabeerpura,Unreserved,ALAMDAR HUSSAIN KHAN,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,13499,65.765,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
31,Rain bazar,Unreserved,MOHAMMED WASAYUDDIN,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,12388,68.891,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
32,Pathergatti,Unreserved,SYED SOHAIL QUADRI,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,20717,81.094,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
33,Moghalpura,Women,NASREEN SULTANA,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,11754,60.28,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
34,Talabchanchalam,Backward Classes (Women),SAMEENA BEGUM,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,18922,88.732,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
35,Gowlipura,Backward Classes (Women),A BHGYA LAXMI,BJP,Bharatiya Janata Party,15469,69.828,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
36,Lalithabagh,Unreserved,MD ALI SHARIF,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,12110,61.745,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
37,Kurmaguda,Backward Classes (Women),MAHAPARA,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,13152,55.087,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
38,I.S.Sadan,Women,J SWEETHA J,BJP,Bharatiya Janata Party,10924,52.091,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
39,Santhoshnagar,Backward Class,MOHAMMED MUZAFFAR HUSSAIN,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,13135,77.228,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
40,Riyasath nagar,Unreserved,MIRZA MUSTAFA BAIG,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,17368,82.768,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
41,Kanchanbagh,Backward Classes (Women),RESHMA FATIMA,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,17709,85.078,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
42,Barkas,Backward Classes (Women),Shabana Begum,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,13558,79.143,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
43,Chandrayan gutta,Backward Class,ABDUL WAHAB,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,19152,75.473,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
44,Uppuguda,Unreserved,FAHAD BIN ABDUL SAMED BIN ABDAT,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,13408,59.165,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
45,Jangammet,Unreserved,MOHAMMED ABDUR RAHMAN,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,10629,42.771,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
46,Falaknuma,Scheduled Tribe,K.Thara Bai,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,19434,85.08,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
47,Nawabsaheb kunta,Backward Classes (Women),Shireen Khatoon,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,17543,85.272,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
48,Shali banda,Backward Class,MOHD MUSTAFA ALI,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,15820,64.33,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
49,Ghansi bazar,Backward Classes (Women),Parveen Sultana,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,14377,56.147,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
50,Begum bazar,Unreserved,G SHAKAR YADAV,BJP,Bharatiya Janata Party,16186,65.912,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
51,Gosha mahal,Backward Class,LAL SINGH,BJP,Bharatiya Janata Party,12499,61.294,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
52,Puranapool,Backward Class,S RAJ MOHAN,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,10779,57.138,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
53,Doodbowli,Backward Class,MOHD SALEEM,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,12230,63.964,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
54,Jahanuma,Backward Class,MOHAMMED ABDUL MUQTADER,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,18624,84.547,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
55,Ramanastpura,Backward Class,MOHD KHADER,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,15781,82.223,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
56,Kishanbagh,Backward Class,KHAJA MUBASHEERUDDIN,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,14834,69.474,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
57,Suleman nagar,Backward Classes (Women),ABIDA SULTANA,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,16723,73.266,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
58,Shastripuram,Backward Class,MOHAMMED MUBEEN,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,13676,73.134,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
59,Mylardevpally,Unreserved,THOKALA SRINIVAS REDDY,BJP,Bharatiya Janata Party,18076,48.335,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
60,Rajendra nagar,Scheduled Caste (Women),PODAVU ARCHANA,BJP,Bharatiya Janata Party,10844,46.433,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
61,Attapur,Backward Classes (Women),Sangeeta Mondra,BJP,Bharatiya Janata Party,13479,48.597,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
62,Ziaguda,Scheduled Caste,DARSHAN BOHINI,BJP,Bharatiya Janata Party,12711,60.853,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
63,Manghalhat,Backward Classes (Women),Merampally Shashikala,BJP,Bharatiya Janata Party,11756,48.269,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
64,Dattathreyanagar,Backward Class,Mohmmad Zaker Baquery,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,12314,74.49,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
65,Karwan,Backward Class,MANDAGIRI SWAMY,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,10546,41.549,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
66,Lunger house,Women,AMINA BEGUM,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,11182,46.077,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
67,Golkonda,Backward Classes (Women),SAMEENA YASMEEN,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,20819,76.397,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
68,Tolichowki,Backward Classes (Women),DR. AYESHA HUMERA,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,18089,87.887,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
69,Nanalnagar,Backward Class,Mohammed Naseeruddin,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,21818,82.481,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
70,Mehdipatnam,Backward Class,MOHAMMED MAJID HUSSAIN,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,7420,62.432,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
71,Guddimalkapur,Backward Class,DEVARA KARUNAKAR,BJP,Bharatiya Janata Party,12359,53.226,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
72,Asifnagar,Backward Classes (Women),GHOUSIA SULTANA,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,12309,55.468,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
73,Vijayanagar colony,Backward Classes (Women),BATHA JABEEN,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,11071,53.553,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
74,Ahmed nagar,Backward Classes (Women),RAFATH SULTANA,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,14536,64.559,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
75,Red hills,Backward Classes (Women),SADDIA MAZHER,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,10460,52.172,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
76,Mallepally,Backward Classes (Women),YASMEEN BEGUM,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,12386,48.67,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
77,Jambagh,Unreserved,RAKESH JAISWAL,BJP,Bharatiya Janata Party,8547,34.669,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
78,Gunfoundry,Women,Dr. B. Surekha,BJP,Bharatiya Janata Party,11696,49.484,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
79,Himayathnagar,Women,MAHALAKSHMI.G.N.V.K,BJP,Bharatiya Janata Party,12134,51.81,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
80,Kachiguda,Women,K UMA RANI,BJP,Bharatiya Janata Party,13579,60.841,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
81,Nallakunta,Women,Amrutha Yakara,BJP,Bharatiya Janata Party,12779,51.67,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
82,Golnaka,Backward Classes (Women),LAVANYA DUSARI,TRS,Telangana Rashtra Samithi,13381,51.149,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
83,Amberpet,Backward Class,E VIJAY KUMAR GOUD,TRS,Telangana Rashtra Samithi,14800,51.466,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
84,Bagh amberpet,Women,B. Padma Venkat Reddy,BJP,Bharatiya Janata Party,12836,50.164,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
85,Adikmet,Women,SUNITHA PRAKASH GOUD.C,BJP,Bharatiya Janata Party,7830,43.93,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
86,Musheerabad,Backward Classes (Women),M.SUPRIYA,BJP,Bharatiya Janata Party,12551,52.667,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
87,Ramnagar,Unreserved,KUNTLURU RAVI KUMAR,BJP,Bharatiya Janata Party,9819,43.931,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
88,Bholakpur,Backward Class,GHOUSE UDDIN MOHD,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,9048,34.618,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
89,Gandhinagar,Women,AENUGULA PAVANI,BJP,Bharatiya Janata Party,9731,50.417,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
90,Kavadiguda,Scheduled Caste (Women),RACHANA SRI GODCHALA,BJP,Bharatiya Janata Party,11562,47.555,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
91,Khairtabad,Women,P. VIJAYA REDDY,TRS,Telangana Rashtra Samithi,12577,49.422,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
92,Venkateshwara colony,Women,MANNE KAVITHA REDDY,TRS,Telangana Rashtra Samithi,12966,61.005,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
93,Banjara hills,Unreserved,VIJAYA LAXMI R GADWAL,TRS,Telangana Rashtra Samithi,10227,43.919,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
94,Shaikpet,Unreserved,MOHAMMED RASHED FARAZUDDIN,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,13412,48.695,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
95,Jubilee hills,Unreserved,VENKATESH DERANGULA,BJP,Bharatiya Janata Party,10406,45.011,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
96,Yousufguda,Unreserved,BANDARI RAJ KUMAR,TRS,Telangana Rashtra Samithi,9835,49.484,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
97,Somajiguda,Women,Vanam Sangeetha,TRS,Telangana Rashtra Samithi,11516,52.059,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
98,Ameerpet,Women,Ketineni Sarala,BJP,Bharatiya Janata Party,8947,48.654,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
99,Vengalrao nagar,Unreserved,G. Dedeepya,TRS,Telangana Rashtra Samithi,9211,46.476,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
100,Sanathnagar,Women,KOLANU LAXMI,TRS,Telangana Rashtra Samithi,11665,48.079,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
101,Erragadda,Backward Classes (Women),Shaheen Begum,AIMIM,All India Majlis-E Ithehad-Ul Muslimeen,8971,36.886,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
102,Rahmath nagar,Unreserved,C.N. REDDY,TRS,Telangana Rashtra Samithi,14972,51.355,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
103,Borabanda,Backward Class,MD BABA FASIUDDIN,TRS,Telangana Rashtra Samithi,14326,66.028,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
104,Kondapur,Unreserved,Shaik Hameed,TRS,Telangana Rashtra Samithi,14758,51.325,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
105,Gachibowli,Unreserved,V.Gangadhar Reddy,BJP,Bharatiya Janata Party,10602,48.391,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
106,Serilingampally,Unreserved,Ragam Nagender Yadav,TRS,Telangana Rashtra Samithi,12911,47.672,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
107,Madhapur,Unreserved,V. JAGADEESHWAR GOUD,TRS,Telangana Rashtra Samithi,13672,61,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
108,Miyapur,Unreserved,Uppalapati Sreekanth,TRS,Telangana Rashtra Samithi,9735,46.048,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
109,Hafeezpet,Women,V.PUJITHA,TRS,Telangana Rashtra Samithi,15039,54.199,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
110,Chanda nagar,Women,Smt. R.Manjula,TRS,Telangana Rashtra Samithi,11975,50.542,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
111,Bharathi nagar,Women,V Sindhu,TRS,Telangana Rashtra Samithi,11563,58.678,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
112,Ramachandrapuram,Backward Class,Smt.Burugadda Pushpa,TRS,Telangana Rashtra Samithi,11540,60.772,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
113,Patancheruvu,Backward Class,Sri. Mettu Kumar Yadav,TRS,Telangana Rashtra Samithi,15523,56.645,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
114,KPHB colony,Unreserved,Mandadi Srinivasa Rao,TRS,Telangana Rashtra Samithi,12498,47.01,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
115,Balaji nagar,Women,P Sirisha,TRS,Telangana Rashtra Samithi,12701,47.878,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
116,Allapur,Women,Sabiha Begum,TRS,Telangana Rashtra Samithi,18648,61.223,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
117,Moosapet,Unreserved,K MAHENDAR,BJP,Bharatiya Janata Party,10068,42.991,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
118,Fathe nagar,Unreserved,Satish Babu Pandala,TRS,Telangana Rashtra Samithi,11626,45.412,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
119,Old bowenpally,Unreserved,M NARSIMHA YADAV,TRS,Telangana Rashtra Samithi,16031,57.786,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
120,Bala nagar,Unreserved,AVULA RAVINDAR REDDY,TRS,Telangana Rashtra Samithi,10945,49.841,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
121,Kukatpally,Unreserved,JUPALLY SATYANARAYANA RAO,TRS,Telangana Rashtra Samithi,10679,45.571,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
122,V V nagar,Women,MADHAVARAM ROJA DEVI,TRS,Telangana Rashtra Samithi,11658,51.896,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
