SI No,Zone,Ward,Location address of the shelter,Type of shelter,Shelter coordinator Name and Mobile Number,SI's Name and Mobile Number,ZHO and SO Name & mobile number
25,7,84,"WORLD Trust,No.l49A, Kannan Koil street, Pattravakkam, Chennai-98",Men,Selva rani 9941428162,Muthu Krishnan - SI 9445025884,Sundar 9962828657
26,7,86,"Integrated women development institute,Bharathiyar street, VGN Shanthi nagar, Ti miller, Ambattur, Che-50",Men,ArulJeeva 9787481241,Sakthivel - SI 9940673653,Sundar 9962828657
27,7,91,"ECOMWELLow Cost Health Care, No.1/91 A, Second Floor, Kalamegam Salai, Mogappair West, Chennai -37.",Women,Manimekalai 7338868706,Manikandan - SI 8072680350,VijayaKumar 9884941920
28,8,103,"Surabi trust,Corporation School kellys, Chennai-10",All group except mentally challenged,Mohana Priya 9841627393,Karthick - SI 9884546562 7904025540,Jayamurugan (SO) 9962526363
29,8,103,"New Life Social Welfare centre,Kilpauk Medical College hospital campus, Chennai.",Special shelter- Women,Maria 8344890510,Karthick - SI 9884546562 7904025540,Jayamurugan (SO) 9962526363
30,8,103,"Hope Vision India,Kilpauk Medical College hospital campus, Chennai.",Special shelter - Men,Thirumal prashanth 7373351598,Karthick - SI 9884546562 7904025540,Jayamurugan (SO) 9962526363
31,8,106,"Hope Charitable Trust,Chennai Primary School, Erulandi St., Amandakari, Chennai - 29",Mentally Retarded Boys,Merlin 9843785453,Ranjith - SI 9003831772 9445025906,Mr. Kovil (SO) 9444340831
32,8,107,"SIP,Me Nicholas Road, Dasspuram Junction, Chetpet, Chennai",Transgender,Manoj 8220880988,Ranjith - SI 9003831772 9445025906,Mr. Kovil (SO) 9444340831
33,8,110,"Dorcas Research Centre for Education, Art and Culture,No.10, Kamdar Nagar, Chennai- 600003.",Physically Challenged women,Prasanna kumar 9444120620,Aravinth - SI 9445025910,Ravindran SO 9840555598
34,8,114,"Glorious Gospel Mission Charitable Trust,Chennai primary school. Lock nagar, Chennai",Girl children,,Salith - SI 9445025919,RamKumar (SO) 9445025916
35,9,115,"RVKCorporation school. Old No.25, New No 12, Subramania Garden, Thangavelu street. Triplica ne, Chennai-600005",Women,Shanthi 8608444174,Salith - SI 9445025919,RamKumar (SO) 9445025916
36,9,122,"Selvi memorial trust,Pasumpon Muthuramalingam salai. Old chamiyars road, Teynampet, Che-18",Women,Pramila 7708656692,Prabu - SI 8144835661,Jayamurugan (SO) 9962526363
37,9,124,"Rajina charitable trust ,No.l Market street, Mandaveli, Ch-21",Men,Vishanth 9884587575,Karupusamy - SI 9095723274,Selvakumar 9884426650 9445190689
38,9,125,"Banyan,No.7 Dummi kuppam lane, Dummi kuppam Santhome, Che-04",Men with psycho social disability,Karupusamy - SI 9095723274,Karupusamy - SI 9095723274,Selvakumar 9884426650 9445190689
39,10,127,"Loyola Shelter HomeAyappa Nagar Main Road, Round Building, Koyambedu -107.",Men,Symon Raja 9751975034 ,Shankar-SI 9445025927 9942080484,Gopala Krishnan (SO) 9884886066
40,11,147,"Paadhai,No.6, Ashtalakshmi Nagar, 23rdstreet, Alapakkam, Chennai-116.",Care for boys,Udhaya kumar 9629774136,Palani Murugan -SI 9500040568,VijayaKumar 9884941920
41,11,147,"Integrated women development institute,No.47 Dasari Padma nagar, Sudalai madasami koil street, maduravoyal, Chennai-75",Women,Sasikala 7868043534,Palani Murugan -SI 9500040568,VijayaKumar 9884941920
42,12,163,"Form Trust,Parthasarathy 1st street, Adambakkam, Chennai-88",Men,Ragupathy 7395984433,Mrs. Revathy -SI 9884696404,Venkatesan(S.O) 9445190692
43,13,171,"Selvi Memorial lllam Society,No.l Railway Border road, Appavu nagar. Near Amma Unavagam, Che-15",Men,R.P.Raj 9688195557,Ismayl Gani -SI 9941812368,Ganesan(SO) 9940026757
44,13,176,"Montfort Siragugal,Corporation School Damodharapuram, Besant Nagar, Chennai-20",Care and Protection centre for children,Viktoriya 8608268780,"Swaminathan - SI 9445025976,",Sivakumar 8072612855
45,15,196,"Kannagi nagar podhunala sangamInjambakkam, ECR Road, Chennai-115",Men,Nagarajan 7092895521,Mohana Priya -SI 8838036902,V.Murthy (S.O) 8608730123
46,15,198,"Little HeartsPlot no.123, J.Nagar, Panayur, Chennai-119",Women with Child,Usha 9940617715,Kanagalakshmi -SI 7299222690,V.Murthy (S.O) 8608730123
