term,ward_no,ward_name,name,party,reservation,source
2020-2025,60,Perumanur,Lathika K.P,CPI(M),SC Woman,lsgkerala.gov.in/2020/169
2020-2025,61,Ravipuram,S Sasikala,CPI(M),Woman,lsgkerala.gov.in/2020/169
2020-2025,62,Ernakulam South,Padmaja S Menon,BJP,Woman,lsgkerala.gov.in/2020/169
2020-2025,63,Gandhi Nagar,Bindu Sivan,CPI(M),General,lsgkerala.gov.in/2020/169
2020-2025,64,Kathrikadavu,Aristottil M.G,INC,General,lsgkerala.gov.in/2020/169
2020-2025,65,Kaloor South,Rajani Mani,INC,Woman,lsgkerala.gov.in/2020/169
2020-2025,66,Ernakulam Central,Sudha Dilipkumar,BJP,Woman,lsgkerala.gov.in/2020/169
2020-2025,67,Ernakulam North,Manu Jacob,INC,General,lsgkerala.gov.in/2020/169
2020-2025,68,Ayyappankavu,Mini Dileep,INC,Woman,lsgkerala.gov.in/2020/169
2020-2025,69,Thrikkanarvattom,Kajal Salim,Independent,Woman,lsgkerala.gov.in/2020/169
2020-2025,70,Kaloor North,Ashitha Yahiya,CPI(M),Woman,lsgkerala.gov.in/2020/169
2020-2025,71,Elamakkara South,Sajini Jayachandran,CPI(M),Woman,lsgkerala.gov.in/2020/169
2020-2025,72,Pottakuzhy,Shakeer C A,CPI,General,lsgkerala.gov.in/2020/169
2020-2025,73,Pachalam,Mini Vivera,INC,Woman,lsgkerala.gov.in/2020/169
2020-2025,74,Thattazham,V V Praveen,CPI(M),SC,lsgkerala.gov.in/2020/169
