stop_id,stop_name,stop_lat,stop_lon
1077,Lal Darwaja,23.025053,72.578186
2107,Vadaj,23.055433,72.571935
1984,Sanjivani Hospital,23.057144,72.570035
2034,Tulsishyam Society,23.058305,72.568853
2035,Bhimjipura,23.059739,72.567827
3694,Kiran Park,23.059973,72.563416
7857,Vijaynagar Railway Crossing,23.059863,72.560983
3695,Patrakar Colony (Vijaynagar),23.059583,72.559166
3696,Ankur Society,23.058885,72.555986
3697,Rangjyot Society,23.056765,72.557756
3698,Sundarnagar (Sundarvan Society),23.05455,72.558923
2922,Devendra Society,23.051601,72.553418
2923,Paliyadnagar,23.049083,72.553531
2924,Darpan Six Roads,23.046221,72.552818
4953,Memnagar Tubewell Station,23.04477,72.550745
4954,Suchita Apartment (Vijay Char Rasta),23.043193,72.549551
1221,Dada Sahebna Pagala,23.03944,72.54884
1222,Gujarat University,23.034608,72.549028
1402,Shaifali Society,23.030305,72.548258
1403,Panjarapol,23.026545,72.544458
1404,Sahajanand College,23.025621,72.543649
2112,L Colony,23.023785,72.543016
2113,Tagor Park,23.021663,72.543188
2114,Manekbag Hall,23.017079,72.542338
2926,Sanyojannagar (Juna Octroi Naka),23.016705,72.539118
2927,Kameshwar Twins,23.015458,72.534501
2117,Shyamal Char Rasta,23.01474,72.531393
2118,Shyamal Cross,23.013203,72.530853
2119,Dr.Shyamaprasad Overbridge,23.009453,72.531763
1280,Jivraj Park,23.00664,72.533911
1281,Gyanada Society,23.00689,72.535391
1282,Malav Talav,23.007663,72.538538
1283,Dr.Jivraj Mehta Hospital,23.009311,72.543199
1284,Lavanya Society,23.007498,72.544431
1285,Keshariyajinagar Society,23.005066,72.545585
1286,Vasna,23.002231,72.547915
1287,Jawaharnagar,23.003416,72.551798
2933,Anjali Cinema,23.003606,72.554225
2934,Dungarshinagar,23.002231,72.555575
2051,Chandranagar,23.000227,72.557683
7020,Sabar Flats,23.000352,72.557793
2052,Samast Brahamkshatriya Society,23.001301,72.561073
2053,Shantivan Society,23.002273,72.562411
2054,Jethabhai Park,23.003507,72.563648
2055,Prabhudas Thakkar College,23.005364,72.564489
7054,Vishwakunj Society,23.007912,72.566285
2057,Rajnagar Society,23.0094,72.567459
4124,Museum (Sanskar Kendra),23.01196,72.56873
1295,Calico Colony,23.010776,72.577823
1941,Amts Staff Quarters,23.011398,72.584628
1297,Municipal Chal (S.T.),23.01257,72.58834
3812,S.T. Stand,23.01324,72.591495
2228,Majur Gam,23.009298,72.591678
2229,Bhulabhai Park,23.006485,72.59113
2230,Mangal Park,23.003641,72.590043
2231,Shahalam Tollnaka,23.00181,72.590033
2944,Juna Dhor Bazar,23.002275,72.591925
2233,Amrakunj,23.002756,72.594101
2234,Gordhanwadi,23.003246,72.596161
2235,Pushpakunj-Shukladada Chowk,23.002841,72.598783
2236,Shelat Bhuvan,23.000241,72.600586
4418,Rambag,22.999625,72.601956
5164,Machchipir,23.002725,72.60398
5165,Vasantwadi,23.003943,72.605526
1307,Balvatika,23.004393,72.606379
1308,Punit Ashram,23.003203,72.607886
1309,Jay Ambe Apartment,23.00201,72.609848
3215,Maninagar,22.99774,72.611666
1204,Sarangpur,23.022515,72.598497
1490,Kamdar Medan,23.02052,72.605328
1491,Hathi Khai,23.021031,72.608518
1492,Bombay Housing Police Line,23.02138,72.609945
1493,Patel Mills,23.022115,72.613465
1494,Marsdon Mills,23.022213,72.616115
1495,Ganjifarak Mills,23.022263,72.618563
8959,Rakhiyal,23.022299,72.619962
8957,Pumping Station,23.024832,72.618883
8955,Ramanni Chali,23.027705,72.618164
8953,Sonariya Blocks,23.028497,72.621651
4399,Bapunagar General Hospital,23.028561,72.62427
4400,L.B.Shastri Stadium,23.028353,72.628611
2696,Stadium Corner,23.025936,72.629401
2697,Indira Garibnagar,23.024113,72.63075
7106,Margha Farm,23.023776,72.631264
8951,Padamshali Soc.(Virat Nagar),23.026432,72.637129
5199,Viratnagar,23.027067,72.638897
5200,Gandhi Park,23.028021,72.641098
4329,Swaminarayan Mandir (Viratnagar),23.02919,72.643897
4330,Tejendranagar,23.030063,72.646136
4331,Viratnagar Canal (Tapshil Society),23.030688,72.64805
5206,Gokul Park,23.031613,72.651876
5207,Vinayak Park,23.032166,72.654995
5208,Vaibhav Park,23.032135,72.65619
5209,Varahi Prathamik School,23.032263,72.658658
4129,Manmohan Park,23.032553,72.661983
5201,Ashwamegh Society (Manmohan),23.03656,72.66196
4332,Har Har Gange Flats,23.03874,72.661773
5202,Khodiyar Mandir (Nikol),23.040971,72.662728
2524,Jayshukan Apartments,23.044211,72.66323
2525,Uma Vidyalay,23.046143,72.663263
2526,Krishna Vihar Society,23.048731,72.66345
2527,Shukan Bunglows,23.050485,72.663696
2528,Saurashtra Patel Samajni Wadi,23.050573,72.665136
2529,Shakuntal Bunglows,23.050381,72.666881
5203,Vaikunthdham,23.05005,72.670251
2531,Akanksha Tenament,23.05086,72.672713
2532,Ankur Raw House,23.053485,72.673182
2533,New India Colony (Kelavani Dham),23.055167,72.674289
8853,Sarita Residency (New India Colony),23.057295,72.675982
9112,Omkareshwar Mahadev,23.05775,72.673487
7356,Akshardham Residency,23.058335,72.671321
4337,Shyam Villa-2,23.06044,72.671236
4338,Shubham Galaxy,23.063801,72.671446
4339,Paras Galaxy,23.066621,72.671971
4340,Haridarshan Char Rasta,23.069525,72.673098
4794,Lakshmi Villa,23.069943,72.675486
4795,Maharshi Sandipani School,23.072216,72.674948
4796,Shriram Kutir,23.074963,72.674205
9106,Sadhi Mata Nu Mandir,23.078476,72.672858
9108,Vithhal Plaza,23.079922,72.672263
9110,G.E.B (Naroda),23.080899,72.671914
1845,New Cloth Market,23.01886,72.598915
8342,Hirabhai Market,23.015242,72.600506
8340,Vanijya Bhavan,23.011896,72.600828
1305,Zoo Kankariya,23.01071,72.601328
1306,Ramanand Kot,23.00944,72.604463
2281,Apparel Park (Ambika Mills),23.006973,72.610215
2282,Bhalakiya Mills,23.006293,72.613153
8495,Ashima Group,23.007871,72.61448
8343,Saujanya Apartment,23.009384,72.616075
8497,New Cotton Mill,23.010796,72.616933
8466,Sukhramnagar Pani Ni Tanki,23.013126,72.618432
9194,Government Quarters (Gomtipur),23.017424,72.619978
9196,Arbuda Mills,23.019915,72.620093
1497,Anant Mills,23.020443,72.627066
1498,Soma Textile (National Mills),23.020225,72.629405
1499,Ajit Mills,23.020173,72.633115
1500,Sonini Chali,23.02018,72.635425
1501,Grid Station (C.M.C.),23.021211,72.64245
1502,Quick Metal Industries,23.021755,72.646121
1503,Rabari Vasahat,23.022165,72.648876
1504,Bhikshuk Gruh,23.022786,72.653061
1505,Vallabh Nagar,23.023096,72.655236
1506,Bhram Rushi Kheteshwar Chowk,23.023655,72.659145
1507,Odhav Gam Approach,23.024305,72.663615
1508,Odhav Terminus,23.024883,72.667908
2569,S.P.Ring Road (Odhav),23.025025,72.672286
1510,Gujarat Vepari Mahamandal,23.025673,72.677121
1511,Nityanand Ashram,23.02647,72.679826
1512,Bhagwatinagar,23.02647,72.68257
1513,Dwarikanath Hindi Higher Secondary School,23.02626,72.684906
1514,Kathwada Patiya,23.026073,72.686953
1515,School,23.025835,72.689346
1818,Singarwa Patiya,23.025741,72.692623
1819,Chinubhainagar,23.026311,72.696555
2570,Gopalnagar,23.026876,72.699968
2571,Hinglajmata Approach,23.030068,72.702201
2572,Grid Transformer,23.030823,72.708458
2573,Grid Thambhalo,23.031691,72.713668
2574,Bhuvaldi Para,23.033013,72.717326
2575,Bhuvaldi Gam,23.033231,72.71872
4519,Madhavanand Ashram Approach,23.035858,72.719413
2576,Zanu Patiya,23.034923,72.723576
2577,Dasamanu Mandir,23.034796,72.72631
2578,Nilkanth Mahadev,23.038383,72.73435
2579,Nilkanthpura,23.039103,72.737345
2580,Khari Nadi Approach,23.039263,72.738275
2581,Zanu Gam,23.040725,72.74083
2582,Ambe Matanu Mandir,23.039533,72.74643
2583,Talavdi (Lalpur Cross Road),23.038385,72.747165
2584,Smrutivan,23.035968,72.751786
2585,Harisiddh Matanu Mandir,23.033113,72.75886
2586,Kubadthal Gam,23.033231,72.760088
1051,Gujarat University,23.034453,72.548851
1577,Dada Sahebna Pagala,23.03857,72.548711
1052,Suchita Apartment (Vijay Char Rasta),23.042411,72.548949
1054,Jain Upashray (Hira Panna Flats),23.040258,72.553938
1107,Commerce College,23.038873,72.556131
1108,Commerce College Hostel,23.038141,72.55777
1109,Swastik Society,23.036845,72.560678
1150,Navarangpura,23.03552,72.564193
1151,Mount Carmel School,23.035201,72.568942
5974,Metro Station,23.037383,72.568877
1152,Income Tax Office,23.039453,72.569121
1157,Madhupura,23.037773,72.589655
1158,Dariyapur Darwaja,23.037796,72.592156
1159,Prem Darwaja,23.036086,72.596685
4021,Fruit Market,23.033961,72.597846
2271,Kalupur,23.031238,72.59866
1715,Kalupur Terminus,23.030241,72.600373
1489,Sarangpur,23.022186,72.598729
1164,Government Quarters (Gomtipur),23.017389,72.620559
1165,Anant Society,23.017366,72.623111
1166,Chakudiya Mahadev,23.017413,72.624971
1167,Gravity House,23.01433,72.626576
1168,Ghanshyam Engg. Works,23.013905,72.629348
1169,Nagarvel Hanuman,23.011983,72.630623
1170,Sanjay Chowk,23.009838,72.632145
1171,Ashwamegh Society (Nagarvel),23.008975,72.634088
1172,Satyamnagar,23.008221,72.636105
1173,Ramrajyanagar,23.008006,72.637986
1174,Harbholenath Park,23.009998,72.638391
1175,Rajdeep Society,23.012143,72.638348
7660,Rajratna Society,23.014609,72.638731
1177,Rajendra Park,23.014995,72.640375
1178,Mukeshnagar,23.014748,72.642601
1179,Radheshyam Society,23.014781,72.644501
1180,Shitalchhaya Society,23.012641,72.644903
1181,Arbudanagar,23.009321,72.6448
3213,Iskon Mandir,23.02708,72.508475
8902,Big Bazar,23.027271,72.506649
1419,Antariksh Colony (Joitaramno Kuvo),23.027511,72.502986
2618,Mumatpura Approach,23.027848,72.495375
1421,Jyantilalpark,23.028386,72.490644
1422,Ambli,23.02694,72.48351
1423,Luv Kush Nursery,23.025911,72.479435
1424,S.P.Cross Road (Abadnagar),23.025753,72.477946
1425,Abadnagar,23.029228,72.475685
1426,Sarkari Tubewell,23.030071,72.473846
1427,Inductotherm,23.031549,72.470749
1428,Sterling Club,23.03293,72.468
1429,Purushottamnagar (Bopal),23.033843,72.46529
1430,Bopal Gam,23.033958,72.464294
1431,India Colony,23.032911,72.461663
1432,Anuradha Society,23.031629,72.458421
1433,Vidyanagar High School (Ghuma),23.03141,72.455258
1544,Iskon Flower,23.030285,72.452905
1545,Ghuma Gam,23.03055,72.450251
4653,Ghuma Talav,23.030361,72.448028
2621,Pleasure Club,23.033259,72.444315
2622,Soham City,23.032163,72.433151
2623,Manipur Vad,23.031085,72.429408
2624,Manipur Gam (Sanskar Dham),23.030793,72.426938
2625,Silver Spring (Dudhiya Farm),23.028453,72.42295
2626,Iscon Plam Spring,23.025848,72.417013
2627,Zydus School Of Excellance,23.024871,72.415238
8135,Vadu Talav,23.02317,72.411596
2629,Godhavi Gam,23.025373,72.409451
2630,Hariom Aligence,23.024193,72.406431
2631,Baliyadev Mandir (Godhavi),23.023325,72.403231
2632,Shrirang Farm,23.021446,72.395126
2633,Nidharad Gam,23.0178,72.389993
2634,Muni Ashram,23.014685,72.383875
2635,Phool Jogni Mata Mandir,23.009191,72.38332
2636,G.E.B. Office (Sanand),23.003631,72.382521
2637,Prakruti Plaza,23.000586,72.381836
2638,Apmc Market,22.999128,72.381685
2639,Sanand (Ghodagadi Stand),22.995923,72.381432
8742,Nilkanth School,22.995498,72.383701
8744,Laxman Talav,22.994644,72.385852
8746,Thakor Vas (Sanand),22.994239,72.387406
8748,Shree Eklingji Residency,22.994453,72.38976
8750,Akar Homes,22.991088,72.389785
8752,Akar Complex (S.B.I),22.987174,72.389294
1386,Sanand Police Station,22.987638,72.3862
7074,Nyaymandir Sanand,22.98817,72.383905
1387,Bavla Cross Road (Gadhiya Talav),22.988936,72.381308
1388,Nalsarovar Cross Road,22.990583,72.379205
1389,Sanand S.T. Stand,22.991953,72.376935
1390,Muktidham (Sanand),22.99197,72.373978
1391,Shri Hajari Matanu Mandir,22.992053,72.36988
1589,Eye Hospital,22.994405,72.364283
1590,Madhavnagar (Sanand),23.000601,72.35629
8431,Lal Darwaja,23.02443,72.578948
1076,Apna Bazar,23.025321,72.580705
1127,Sardarbag,23.027145,72.578883
1128,Gandhigram Railway Station,23.025308,72.571413
1129,Sanyas Ashram,23.02408,72.571466
2608,Madalpur (Town Hall),23.022096,72.569816
2609,Gujarat College,23.021423,72.566111
2610,Hope Nuro Care Hospital,23.020716,72.563578
2611,University Granth Nirman Board,23.020945,72.560386
1971,Law College,23.023551,72.557993
1972,Panchvati,23.022848,72.556883
1973,C.N. Vidyalay,23.021416,72.552275
2612,Exise Chowki (Cn),23.022355,72.549823
2613,Snehkunj,23.021925,72.547263
2614,Government Quarters (Nehrunagar),23.022033,72.54434
2615,Satyakam Society,23.022425,72.540633
2616,Haridas Park,23.022908,72.536438
2617,Umiya Vijay Society,23.02381,72.533141
1411,Shivranjni Society,23.024465,72.529388
1412,Jodhpur Road,23.024896,72.527766
1413,Harisiddh Society,23.026101,72.523983
1414,Satellite Station,23.027355,72.52175
1415,Bhav Nirzar,23.027573,72.517621
1416,Narayan Vidyalay,23.027643,72.514785
1417,Ramdevnagar,23.027453,72.513158
7028,Gatrad Gam,22.978268,72.702037
7025,Bhaliyadev (Gatrad),22.977337,72.693639
7023,Mahmadpura,22.977613,72.680409
7022,Motikhai,22.97813,72.669909
2300,Malek Margha Farm,22.975743,72.664388
2301,S.P.Ring Road (Ramol),22.979839,72.659567
2302,Ramol Gam,22.980271,72.65598
2303,Paper Mill,22.983481,72.653014
2304,Janatanagar(Ramol),22.985476,72.650503
2305,Talavdi (Ramol),22.987618,72.646907
2306,Krushnamacharini Chali,22.988023,72.645301
2307,Garnala (Sindhavaimata),22.989115,72.642044
2308,Sindhavainagar,22.989935,72.639148
2309,Sindhavaimata,22.990123,72.636185
2310,C.T.M. Cross Road,22.992985,72.632331
2311,Lal Bangla (Ctm),22.995045,72.629233
2312,Hatkeshwar Depo,22.99732,72.62607
2257,Hatkeshwar Mahadev,22.998852,72.624486
2258,Bombay Housing,23.001684,72.621833
2259,Khokhara Circle,23.00242,72.618346
2948,Bihari Mills,23.003184,72.617342
2260,K.K. Shastri College,23.004001,72.616361
2261,New Anaj Bazar,23.00497,72.614808
2262,Bhalakiya Mills,23.006095,72.612706
2263,Apparel Park (Ambika Mills),23.006833,72.610156
1333,Ramanand Kot,23.009322,72.604334
1334,Zoo Kankariya,23.010493,72.601436
3172,The Arena (Abad Dairy),23.009993,72.598823
1336,Parsi Agiyari,23.011235,72.59777
1847,Raipur Darwaja,23.017108,72.595344
2160,Nataraj Cinema,23.028653,72.570706
3378,Mithakhali,23.030655,72.566981
2822,Shrimali Society,23.031805,72.564048
1214,Navarangpura,23.035586,72.563374
1215,Swastik Society,23.036878,72.560326
1216,Commerce College Hostel,23.037986,72.557906
1217,Commerce College,23.038808,72.555578
1218,Jain Upashray (Hira Panna Flats),23.040075,72.553986
3839,Suchita Apartment (Vijay Char Rasta),23.042893,72.548675
3840,Saurabh Society,23.044386,72.546
3841,Kailasnagar,23.044763,72.54361
3379,Manav Mandir,23.045785,72.53933
3380,Niranjan Society,23.045826,72.536835
2988,Gurukul,23.04582,72.533436
2989,Indraprasth Tower,23.045956,72.531546
2990,Drive In Cinema,23.046858,72.52835
2991,Telephone Training Centre (Ambawadi),23.048135,72.524631
4664,Sardar Patel Institute,23.048738,72.522158
2992,Shantinath Mahadev (Jay Ambenagar),23.049373,72.520448
3849,Muktidham Jain Derasar,23.04975,72.518186
1617,Vinay Vidya Mandir,23.052485,72.518043
1618,Raja Palace (Chakshu Bank),23.056245,72.519141
4209,Ganesh Corporate House,23.059268,72.516216
4210,Suvarna Bunglows,23.059262,72.514793
4211,Ayna Complex,23.057748,72.510535
4212,Hebatpur Cross Road,23.055942,72.506204
8800,Shree Naran Dham,23.054243,72.507595
2995,Thaltej Gam,23.050366,72.508022
2997,Talavdi (Thaltej),23.050153,72.50721
3000,Steel Factory,23.050595,72.497125
3381,Prajapatino Kuvo,23.051396,72.492851
8962,Thaltej-Shilaj Railway Over Bridge,23.052298,72.482889
8960,Chimanlal No Bor,23.052859,72.480809
3002,S.P.Ring Road (Shilaj Circle),23.0533,72.479641
5720,Shan Banglows,23.053351,72.47617
4658,Garnalu (Shilaj),23.052188,72.473923
3004,Shilaj Gam,23.053831,72.471761
3400,Bhadrakali Mandir,23.024113,72.582874
4025,Tin Darwaja,23.024454,72.584551
4026,Pankornaka,23.024497,72.585352
4066,Fuwara,23.024523,72.586989
4088,Fatasa Ni Pol,23.024698,72.590171
4089,Bala Hanuman(Khadiya),23.024896,72.590992
4090,Khadiya Char Rasta,23.024874,72.596188
4091,Panchkuva,23.025312,72.597568
4092,Shaher Kotda,23.026296,72.598991
3050,Kalupur Terminus,23.027958,72.599818
3049,Revdi Bazar,23.027936,72.5986
5190,Zakariya Masjid,23.027721,72.596091
4821,Dhana Sutharni Pol,23.028333,72.593595
5191,Haja Patelni Pol,23.028368,72.591173
4822,Zaverivad,23.027911,72.589698
4823,Krushna Cinema,23.027593,72.587695
4824,Paththar Kuva,23.026521,72.585095
5192,Vijalighar,23.026438,72.582085
1288,Bhaththa (Vasna),23.005515,72.55494
1289,Anandnagar,23.006388,72.556773
1290,Fatehnagar,23.007895,72.558968
1291,Jain Merchant Society,23.008876,72.56128
1292,Mahalakshmi Society,23.011543,72.563213
1293,Paldi,23.013808,72.564703
1070,Pritamnagar,23.017276,72.567445
1071,Arvind Sales Emporium,23.018118,72.568106
1725,Congress Bhavan,23.019175,72.568988
1072,V.S. Hospital,23.020746,72.570281
1073,Sanyas Ashram,23.024094,72.571266
1074,Gandhigram Railway Station,23.024998,72.571216
2161,Vallabhsadan,23.029938,72.570475
2162,Mill Owners Association,23.032731,72.570033
2031,Usmanpura,23.048301,72.570955
2032,Champaner Society,23.050876,72.57131
2033,Vadaj,23.055089,72.571524
2164,Chandrabhaga Bridge,23.058668,72.578313
8520,Ranip St Bus Stand,23.067785,72.575428
8335,Rto Circle,23.068418,72.58019
4761,Power House,23.073436,72.591733
4762,Power House Staff Quarters,23.07655,72.594563
4771,Municipal Snanagar (Sabarmati),23.080615,72.593596
2426,Chintamani Society,23.08386,72.592505
2181,Abu-Koba Cross Road,23.087103,72.59147
2182,Acher Depot,23.09059,72.590408
2183,Lakshminagar,23.095581,72.589051
2184,Motera Road,23.098973,72.587993
2185,O.N.G.C. Office,23.104276,72.586303
2186,Parshwanathnagar,23.108403,72.585001
2187,Shivshakti Nagar (Chandkheda),23.110545,72.584356
1653,Chandkheda Gam,23.116256,72.582648
2188,Satyamev Hospital,23.119554,72.581965
2189,Prahlad Park,23.120114,72.580416
5738,Dewangi Bungalow,23.120323,72.579066
2191,Suryan Hope Town,23.120671,72.5776
2192,Kumkum Residency,23.123324,72.578404
2193,Shyam Satya,23.123106,72.579933
2194,Chandkheda (Sarthi Bunglows),23.122871,72.581004
5514,Moti Bhoyan Chokdi,23.175046,72.451213
5727,Shri Balak Cutter,23.170431,72.45661
5547,Universal Engg. College,23.168083,72.458006
5728,Arvind Mills Vadsar,23.165885,72.459201
5516,Arna Clothing,23.163536,72.460455
2715,Saibaba Chemicals,23.15774,72.46383
5517,Sendhani Matanu Mandir,23.152273,72.4667
5518,Vadsar Chokdi,23.14749,72.469348
2730,Khodiyar Matanu Mandir,23.146995,72.462136
2731,Gurukrupa Polyplast,23.147021,72.458005
2961,K.P Polyplast,23.147043,72.456796
2732,Arvind Textile Park,23.147243,72.451716
3769,Arvind Polycoat (Khatraj),23.14738,72.447275
3770,Khatraj Chokdi,23.147173,72.444275
3771,Cheharnagar,23.141991,72.443763
3772,Khatraj Gam,23.137131,72.444035
3773,R.Con Engg.,23.127845,72.454023
3774,Shah Metal Ind.,23.125871,72.456093
3775,Gujarat Vidyut Board (Santej),23.123975,72.458058
5508,Texell Industry,23.121015,72.460693
3776,Dhara Estate,23.11927,72.461783
3777,Goga Maharajnu Mandir,23.115845,72.464273
3778,Shah Alloys Factory,23.110988,72.467768
2854,Satyam Complex,23.074425,72.511821
2855,Sola Gam Cross Road,23.072828,72.515166
1737,Amdupura,23.035093,72.605066
8911,Kutbi Mazar (Vorano Rozo),23.037817,72.607436
3790,D.R.M.Office (Swadeshi Mill),23.039803,72.609638
3791,Chamunda,23.041538,72.611986
3792,Arvind Mills (Naroda),23.042965,72.613991
3793,Geening Press,23.044851,72.616541
3794,Ashok Mills,23.046945,72.619545
3795,Vijay Mills,23.04841,72.621793
3796,Municipal Chal (Memco),23.050528,72.625056
3797,Bansidhar Mills,23.052531,72.628131
3798,Memco,23.054901,72.631823
3799,Rajiv Gandhi Bhavan,23.055721,72.6331
3800,Kubereshwar Mahadev,23.056908,72.634925
3801,G.D.High School,23.058898,72.63764
3630,Saijpur,23.060383,72.638903
3631,Exise Chowki (Naroda),23.062906,72.641026
3632,S.T.Workshop (Naroda),23.065795,72.643566
3633,Mayur Park (Raman Cotton Mills),23.068088,72.645525
3634,Bangla,23.07046,72.647566
3635,Bethak (Naroda),23.072321,72.649986
3636,Narannagar,23.073435,72.652658
3637,Arjun Complex,23.073945,72.65385
3638,Naroda Gam,23.074736,72.655848
1543,Naroda,23.077186,72.655876
1434,Naroda,23.077182,72.65576
1435,Naroda Gam,23.074948,72.656173
3655,Arjun Complex,23.074008,72.654338
3656,Narannagar,23.073458,72.653021
3657,Bethak (Naroda),23.072178,72.649975
3658,Bangla,23.07094,72.6482
3659,Mayur Park (Raman Cotton Mills),23.068068,72.645721
3660,S.T.Workshop (Naroda),23.064356,72.642476
3661,Exise Chowki (Naroda),23.062588,72.641011
3662,Saijpur,23.060548,72.639272
1704,G.D.High School,23.05798,72.636901
3737,Kubereshwar Mahadev,23.056976,72.635281
3738,Rajiv Gandhi Bhavan,23.05575,72.633401
3739,Memco,23.053416,72.62984
3740,Bansidhar Mills,23.051891,72.627446
3741,Municipal Chal (Memco),23.05046,72.625235
3742,Vijay Mills,23.048161,72.621715
3743,Ashok Mills,23.046663,72.61946
3744,Geening Press,23.044616,72.616541
3745,Arvind Mills (Naroda),23.042893,72.614175
3746,Chamunda,23.040508,72.610928
3747,D.R.M.Office (Swadeshi Mill),23.039045,72.60898
8910,Kutbi Mazar (Vorano Rozo),23.037738,72.60761
1712,Amdupura,23.035001,72.605198
3921,Fruit Market,23.031806,72.59793
1205,Prem Darwaja,23.035823,72.596563
1206,Dariyapur Darwaja,23.037433,72.593976
1207,Madhupura,23.03751,72.590148
3749,Sola Gam Cross Road,23.072681,72.51515
2898,Satyam Complex,23.074338,72.511753
3761,Dhara Estate,23.119045,72.461871
3765,R.Con Engg.,23.127718,72.45412
3766,Khatraj Gam,23.137201,72.443978
3768,Khatraj Chokdi,23.147601,72.444948
2765,Arvind Textile Park,23.147333,72.452303
3003,K.P Polyplast,23.147181,72.45643
