register_year,serial,zone,ward_token,ward,length_m,width_m,dlp_or_completion_date,contractor,consultant,road_desc_raw
2017-18,11,North,lhtuzt,12 NARODA,121.0,153.0,07-01-22,K.E.C.L.,,lhtuzt (3) xe.ve-121btk yuV.ve 153 &e yuV.ve 58 mw^eltk htuz (fumh ntRxm &e37.50 bexh htuz) 206.00 4.50 fu.R.me.yuj 07-01-22 yÕfuNCtR mtujkfe rJsgCtR «egœNeo lgltcul me. Fhtze.
2017-18,12,North,lhtuzt,12 NARODA,121.0,850.0,09-01-22,K.E.C.L.,,lhtuzt (4) lhtuzt-2 ltul xe.ve. xe.ve. 121btk ytJuj lhtuzt MbNtl &e bejl vtfo &R m^ebt<tltk bkrœh mw^eltk htuzlu he-d{uz fhe hemhVuRm fhJtlt ftb 850.00 10.00 fu.R.me.yuj 09-01-22 yÕfuNCtR mtujkfe rJsgCtR «egœNeo lgltcul me. Fhtze.
2017-18,13,North,lhtuzt,12 NARODA,121.0,121.0,23-02-22,K.E.C.L.,,lhtuzt W•th Ítul lhtuzt Jtuzobtk z[tVx xe.ve. 121btk ytJuj swœt swœt hM<tytu ctc<u yuMxux Ft<t îtht b¤uj yrC«tglu ægtlu jR (1) xe.ve-121btk yuV.ve 78 &e yuV.ve 148 mw^eltu htuz (ctjtS ftuloh &e mth&e ckøjtuÍ &R 108 <hVltu htuz) 431.45 4.50 
2017-18,14,North,lhtuzt,12 NARODA,121.0,142.0,23-02-22,K.E.C.L.,,lhtuzt (2) xe.ve Mfeb lk:-121btk yuV.ve 142 &e yuV.ve lk:-108mw^eltu htuz (ctjtS ftuloh &e nkmvwhtdtb <hVltu htuz) 435.00 4.80 fu.R.me.yuj 23-02-22 yÕfuNCtR mtujkfe rJsgCtR «egœNeo lgltcul me. Fhtze.
2017-18,15,North,lhtuzt,12 NARODA,70.0,1.0,02-05-21,(?) Infracon variant (verify),,lhtuzt (2)xe.ve Mfeb lk:-70 btk yuV.ve 01 &e yuV.ve lk:- 5 mw^eltu htuz(btÁr< dtRxm vtmultu htuz) 91.70 5.05 yt»tem RL£tftul 02-05-21 yÕfuNCtR mtujkfe rJsgCtR «egœNeo lgltcul me. Fhtze.
2017-18,16,North,lhtuzt,12 NARODA,75.0,15.0,02-05-21,,,lhtuzt (5) xe.ve-75 btk yuV.ve 15/1 &e yuV.ve 16(ckmevtfo vtmultu htuz) 100.19 5.18 02-05-21 yÕfuNCtR mtujkfe rJsgCtR «egœNeo lgltcul me. Fhtze.
2017-18,17,North,lhtuzt,12 NARODA,75.0,70.0,29-01-22,N.C.C. Infra Pvt Ltd,,"lhtuzt W•th Ítul lhtuzt Jtuzobtk z[tVx xe.ve. 75,70 <&t 71 btk ytJuj swœt swœt hM<tytu ctc<u yuMxux Ft<t îtht b¤uj yrC«tglu ægtlu jR (1)xe.ve-75 btk yuV.ve 103 &e yuV.ve 52/1 &R yuV.ve 60 mw^eltu htuz Ntk<efwks <hVltu WCtu htuz) 240.00 4.20"
2017-18,18,North,lhtuzt,12 NARODA,75.0,52.0,29-01-22,N.C.C. Infra Pvt Ltd,,lhtuzt 3) xe.ve-75 btk yuV.ve 52/3 &e yuV.ve 55 mw^eltu htuz(Ntk<efwks vtmultu ytztu htuz) 380.00 4.25 yul.me.me RL£t.«t.je 29-01-22 yÕfuNCtR mtujkfe rJsgCtR «egœNeo lgltcul me. Fhtze.
2017-18,19,North,lhtuzt,12 NARODA,75.0,60.0,26-02-22,N.C.C. Infra Pvt Ltd,,lhtuzt ((4) xe.ve-75 btk yuV.ve 60 &e yuV.ve 62 mw^eltu htuz(dòll rJjt ylu M&tvðg yujedLm Jåaultu htuz) 180.00 4.20 yul.me.me RL£t.«t.je 26-02-22 yÕfuNCtR mtujkfe rJsgCtR «egœNeo lgltcul me. Fhtze.
2017-18,20,North,lhtuzt,12 NARODA,202.0,2.0,,(?) Infracon variant (verify),,lhtuzt W•th Ítul lhtuzt Jtuzobtk ytkcuµh aJtKt &e ©eS ckøjtuÍ ath hM<t mw^eltu htuz JtRzlekd fhe hemhVum fhJtlt ftb 202.00 8.39 yt»tem RL£tftul 02/01/202 yÕfuNCtR mtujkfe rJsgCtR «egœNeo lgltcul me. Fhtze.
2017-18,21,North,lhtuzt,12 NARODA,506.5,10.5,25-02-22,N.C.C. Infra Pvt Ltd,,lhtuzt lhtuzt Jtuzobt ©ehtb aif &e b^wJl øjtuhe mw^e ltu htuz JtRzlekd fhe vtftu fhJtlwk ftb 506.50 10.50 yul.me.me RL£t.«t.je 25-02-22 yÕfuNCtR mtujkfe rJsgCtR «egœNeo lgltcul me. Fhtze.
2017-18,22,North,lhtuzt,12 NARODA,320.0,1.0,01-01-22,(?) Infracon variant (verify),,lhtuzt W•thÍtul lhtuzt Jtuzo btk Ne<jlt& «Cw mtumtgxe &e Fthefx fultj mw^e ltu htuz he-d{uz fhe hemhVum fhJtlwk ftb 320.00 8.86 yt»tem RL£tftul 01-01-22 yÕfuNCtR mtujkfe rJsgCtR «egœNeo lgltcul me. Fhtze.
2017-18,23,North,lhtuzt,12 NARODA,435.0,17.0,17-05-21,,,lhtuzt W•thÍtul lhtuzt Jtuzo btk Lgw ybhvtfo mtumtgxe &e ©æ^t vtfo mtumtgxe mw^e ltu htuz he-d{uz fhe hemhVum fhJtlwk ftb 435.00 5.45 17-05-21 rJsgCtR «egœNeo lgltcul me. Fhtze. lgltcul me. Fhtze.
2017-18,24,North,lhtuzt,12 NARODA,37.5,30.0,02-06-21,,,lhtuzt W•thÍtul lhtuzt Jtuzo btk 37.50 be. &e ctjtS vtfo &R 30.00 be lt xe.ve. htuz lu stuz<tu hM<tu (W•thÍtul lhtuzt Jtuzo btk jûberJjt &e htbœuJ ldh ChJtmz Jtm mw^e ltu htuz he-d{uz fhe hemhVum fhJtlwk ftb) 291.00 4.00 yul.me.me.RLVt.«t.j
2017-18,25,North,fwcuhldh,14 KUBERNAGR,405.0,29.0,29-05-21,,,misvwh fwcuhldh ftumud &e mk<tu»teldh ºtK hM<t mw^e (JtRzled lw ftb) 405.00 3.65 yul.me.me.RLVt.«t.je 29-05-21 ©e htulfCtR «òv<e ©e ybe< CtR ytuÍt ©e me.fu.Fhtze
2017-18,26,North,mhœthldh,11 SARDARNAGAR,657.0,6.0,06-06-21,,,mhœthldh ytuÍtulmexe vh»tu•tble atje &e fcehldh mw^eltu htuz 657.00 9.00 yul.me.me.RLVt.«t.je 06-06-21 S<uL÷ Jmigt rlju»tCtR vxuj me.fu.Fhtze jkctE vntu¤tE yt.E. yt.me.E. zu.me.R. 2017-18 ylw. lkk. Ítul Jtuzo htuzlwkk ltb ¾tuLx[[t.lwkk ltb 
2017-18,27,North,mhœthldh,11 SARDARNAGAR,415.0,19.0,19-02-21,,,mhœthldh Cwr<gt ckdjtu htuz 415.00 7.50 yul.me.me.RLVt.«t.je 19-02-21 bturn< dtk^e rlju»tCtR vxuj me.fu.Fhtze
2017-18,28,North,ctvwldh,26 BAPUNAGAR,250.0,,,,,ctvwldh cshkdmtumtgue <&e sbltldh htuz 250.00 6.00 yt»tuem RLV£t CwhtCtR œumtR bltusCtR bsbwœth yth.me.bun<t
2017-18,29,North,mhmvwh,27 SARASPUR-RAKHIYAL,249.1,11.8,11-06-20,,,mhmvwh- hrFgtj ctj CJtl yturVm mtbultu htuz 249.10 11.80 ytftN RL£t «tu.«t.je 11-06-20 vhuNCtR vxKe ytR.ze.htXtuz yth.me.bun<t
2017-18,30,South,bKeldh,37 MANINAGAR,50.0,27.0,27-04-21,Ashish Infracon Pvt Ltd,,bKeldh Jmk<ldh atufXt&e gwdtLzt vtfo htuxheCJl dje 50.00 7.40 ytNe»t RL£tftul «t.je. 27-04-21 bnuNCtR Xtfh rahtdCtR c{{nbCè vhuNCtR Ntn
2017-18,31,South,bKeldh,37 MANINAGAR,400.0,23.0,23-04-21,Ashish Infracon Pvt Ltd,,bKeldh NeÕvt xujmo vtmule dje (Jfej Jtze) 400.00 4.00 ytNe»t RL£tftul «t.je. 23-04-21 bnuNCtR Xtfh rahtdCtR c{{nbCè vhuNCtR Ntn
2017-18,32,South,bKeldh,37 MANINAGAR,500.0,22.0,22-04-21,Ashish Infracon Pvt Ltd,,bKeldh sdtCtR xe.ve htuz 500.00 4.00 ytNe»t RL£tftul «t.je. 22-04-21 bnuNCtR Xtfh rahtdCtR c{{nbCè vhuNCtR Ntn
2017-18,33,South,bKeldh,37 MANINAGAR,71.0,26.0,26-04-21,Ashish Infracon Pvt Ltd,,bKeldh œevf yvtxo.&e ceythxeyum htuz yul NeNh yuvtxobuLx &e mtule muLxh (dKuN dje) 71.00 4.25 ytNe»t RL£tftul «t.je. 26-04-21 bnuNCtR Xtfh rahtdCtR c{{nbCè vhuNCtR Ntn
2017-18,34,South,bKeldh,37 MANINAGAR,148.0,26.0,26-04-21,Ashish Infracon Pvt Ltd,,bKeldh Dljûbe mtumtgxe xe.ve htuz 148.00 3.95 ytNe»t RL£tftul «t.je. 26-04-21 bnuNCtR Xtfh rahtdCtR c{{nbCè vhuNCtR Ntn
2017-18,35,South,bKeldh,37 MANINAGAR,446.0,28.0,28-04-21,Ashish Infracon Pvt Ltd,,bKeldh Bgw.mJoLx mtumtgxelt ngt< ltul xe.ve ntuR vkhk<w ònuh yJh sJhlt hM<t ntuR ngt< hM<t 446.00 6.30 ytNe»t RL£tftul «t.je. 28-04-21 bnuNCtR Xtfh rahtdCtR c{{nbCè vhuNCtR Ntn
2017-18,36,South,bKeldh,37 MANINAGAR,190.0,24.0,24-04-21,Ashish Infracon Pvt Ltd,,bKeldh dwYîtht f]»Kfwks yuvtxobuLx&e lt&tjtj ÍDzegt c{es 190.00 4.60 ytNe»t RL£tftul «t.je. 24-04-21 bnuNCtR Xtfh rahtdCtR c{{nbCè vhuNCtR Ntn
2017-18,37,South,bKeldh,37 MANINAGAR,400.0,9.04,09.04.2021,Ashish Infracon Pvt Ltd,,bKeldh nehtCtR fLgt Mfwj&e dkdtDh mtumtgxe 400.00 7.00 ytNe»t RL£tftul «t.je. 09.04.2021 bnuNCtR Xtfh rahtdCtR c{{nbCè vhuNCtR Ntn
2017-18,38,South,bKeldh,37 MANINAGAR,500.0,11.0,23.02.2021,Ashish Infracon Pvt Ltd,,bKeldh sgÂnkœ Mfwj&e blvmkœ ftuBvjuût ythtDlt f[tum htuz 500.00 11.00 ytNe»t RL£tftul «t.je. 23.02.2021 bnuNCtR Xtfh rahtdCtR c{{nbCè vhuNCtR Ntn
2017-18,39,South,bKeldh,37 MANINAGAR,320.0,23.02,23.02.2021,Ashish Infracon Pvt Ltd,,bKeldh fjde yuuvtxobuLx&e ykctSbt<t bkÂœh htz <ubs lw<l NÂ¾< mtumtgxe htuz 320.00 9.00 ytNe»t RL£tftul «t.je. 23.02.2021 bnuNCtR Xtfh rahtdCtR c{{nbCè vhuNCtR Ntn
2017-18,40,South,bKeldh,37 MANINAGAR,480.0,13.02,13.02.2021,Ashish Infracon Pvt Ltd,,bKeldh ©eldh mtumtgxe&e nhuf]»K mtumtgxe &R neLœw mbts Jtze mwDe <ubs ylk< mtumtgxelt xe.ve htuz 480.00 6.50 ytNe»t RL£tftul «t.je. 13.02.2021 bnuNCtR Xtfh rahtdCtR c{{nbCè vhuNCtR Ntn jkctE vntu¤tE yt.E. yt.me.E. zu.me.R. 2017-18 ylw. lkk.
2017-18,41,South,cnuhtbvwht,35 BAHERAMPURA,400.0,12.0,12-04-21,,,cnuhtbvwht lJe Jmtn<btkk ytJuj RLzegt ftujtule &e Xtftuh Jtm mwDe ònuh yJh sJhltu htuz 400.00 6.00 htujh muLxh 12-04-21 yÂlj Ntn ylkk< vxuj yNtufCtR mfNult
2017-18,42,South,cnuhtbvwht,35 BAHERAMPURA,750.0,13.0,13-04-21,,,cnuhtbvwht ftuÍe ntuxj&e ceythxeyum Yx stuz<tu htuz 750.00 6.00 htujh muLxh 13-04-21 yÂlj Ntn ylkk< vxuj yNtufCtR mfNult
2017-18,43,South,cnuhtbvwht,35 BAHERAMPURA,700.0,7.0,07-04-21,,,cnuhtbvwht nwÕjzegt nlwbtl ath hM<t&e cnuhtbvwht vtujem atufe mwDe 700.00 6.00 htujh muLxh 07-04-21 yhc RhVtl sd< ftuLx[tfxh yNtufCtR mfNult
2017-18,44,South,cnuhtbvwht,35 BAHERAMPURA,900.0,27.0,27-03-21,,,cnuhtbvwht hbuN lmohe&e mtublt& bntœuJ mwDe 900.00 5.00 htujh muLxh 27-03-21 yÂlj Ntn sd< ftuLx[tfxh yNtufCtR mfNult
2017-18,45,South,cnuhtbvwht,35 BAHERAMPURA,400.0,6.0,06-04-21,,,cnuhtbvwht ftuBgwlexe ntuj &e akœl mtumtgxe mwDe 400.00 5.00 htujh muLxh 06-04-21 yhc RhVtl sd< ftuLx[tfxh yNtufCtR mfNult
2017-18,46,South,cnuhtbvwht,35 BAHERAMPURA,300.0,10.0,10-04-21,,,cnuhtbvwht mk<tu»tldh &e fœbuhhmwjle œhdtn mw^e ltu htuz 300.00 6.50 htujh muLxh 10-04-21 yhc RhVtl sd< ftuLx[tfxh yNtufCtR mfNult
2017-18,47,South,cnuhtbvwht,35 BAHERAMPURA,2500.0,3.0,03-05-21,,,cnuhtbvwht lJe Jmtn<btkk ytJuj vÂhJth cufhele mtbultu buRl htuz&e bnu<tldh htu ntWm mwDe ònuh yJh sJhltu htuz 2500.00 6.00 htujh muLxh 03-05-21 yÂlj Ntn sd< ftuLx[tfxh yNtufCtR mfNult
2017-18,48,South,cnuhtbvwht,35 BAHERAMPURA,450.0,,,,,cnuhtbvwht ybl Mfwj &e Lgw ViÍjldh mtuZj <¤tJ 450.00 4.00 htujh muLxh - yÂlj Ntn ylk<CtR vxuj yNtufCtR mfNult
2017-18,49,South,cnuhtbvwht,35 BAHERAMPURA,220.0,14.02,14.02.2021,,,cnuhtbvwht yub.yum.Vtbo &e hÍtldh buRl htuz 220.00 4.00 htujh muLxh 14.02.2021 yÂlj Ntn ylk<CtR vxuj yNtufCtR mfNult
2017-18,50,South,cnuhtbvwht,35 BAHERAMPURA,350.0,6.02,06.02.2021,,,cnuhtbvwht ablvwht &e rJsg jûbe mtumtgxe buRl htuz 350.00 6.00 htujh muLxh 06.02.2021 yhc RhVtl sd< ftuLx[tfxh yNtufCtR mfNult
2017-18,51,South,œtKejebzt,36 DANILIMDA,350.0,12.0,17-04-21,,,œtKejebzt ¾jtmef Mfwjlt ath hM<t&e atgtomele atje mwDeltu htuz 350.00 12.00 htujh muLxh 17-04-21 «ftNCtR Cukukukò¤egt ylk<CtR vxuj yNtufCtR mfNult
2017-18,52,South,œtKejebzt,36 DANILIMDA,250.0,16.0,16-04-21,,,œtKejebzt atugtomele atje lt¤t htuz <&t Jtuzolt yLg hM<t Wvh 250.00 4.50 htujh muLxh 16-04-21 «ftNCtR Cukukukò¤egt ylk<CtR vxuj yNtufCtR mfNult
2017-18,53,South,œtKejebzt,36 DANILIMDA,650.0,11.2,10-05-21,,,œtKejebzt akztu¤t<¤tJ &e ykctbt<tlt bkrœh mw^e 650.00 11.20 htujh muLxh 10-05-21 «ftNCtR Cukukukò¤egt ylk<CtR vxuj yNtufCtR mfNult
2017-18,54,South,œtKejebzt,36 DANILIMDA,300.0,7.02,07.02.2021,,,œtKejebzt vrhrût<jtjldh &e vehfbtj ¢tum htuz 300.00 9.50 htujh muLxh 07.02.2021 «ftNCtR Cukukukò¤egt ylk<CtR vxuj yNtufCtR mfNult
2017-18,55,South,œtKejebzt,36 DANILIMDA,670.0,12.0,04.02.2021,,,œtKejebzt vrhrût<jtjldh &e CwjtCtR vtujem atufe 670.00 12.00 htujh muLxh 04.02.2021 «ftNCtR Cukukukò¤egt ylk<CtR vxuj yNtufCtR mfNult jkctE vntu¤tE yt.E. yt.me.E. zu.me.R. 2017-18 ylw. lkk. Ítul Jtuzo htuzlwkk ltb ¾tuLx[[t.lwkk ltb DLP vwwK
2017-18,56,South,FtuFht,44 KHOKHRA,1153.0,12.5,03-02-21,Ashish Infracon Pvt Ltd,,FtuFht bKeldh huÕJu f[tumekd&e lt&tjtj ÍDzegt c{es leau mwDe (bKeldh ¢tumed &e nuc{tul Mfwj mw^e ltu 1153.00 12.50 ytNe»t RL£tftul «t.je. 03-02-21 vjfCtR mhJigt Ch<CtR ati^he vhuNCtR Ntn 57 bKeldh huÕJu f[tumekd&e lt&tjtj ÍDzegt c{es leau m
2017-18,58,South,FtuFht,44 KHOKHRA,203.0,11.5,15-04-22,Ashish Infracon Pvt Ltd,,FtuFht jtjCtR muLxh &e nheytubrnLœw ntRMfwj mw^e ltu htuz 203.00 11.50 ytNe»t RL£tftul «t.je. 15-04-22 vjfCtR mhJigt Ch<CtR ati^he XtftuhCtR JmtJt
2017-18,59,South,FtuFht,44 KHOKHRA,126.0,3.02,03.02.2021,Ashish Infracon Pvt Ltd,,FtuFht ctsFuzt &e b^wfws mtumtgxe htuz 126.00 5.40 ytNe»t RL£tftul «t.je. 03.02.2021 vjfCtR mhJigt Ch<CtR ati^he vhuNCtR Ntn
2017-18,60,South,FtuFht,44 KHOKHRA,185.0,6.02,06.02.2021,Ashish Infracon Pvt Ltd,,FtuFht mwCt»tatuf &e jtjCtR muLxh mw^eltu htuz (stzuò mfoj mw^e ltu htuz ) (nuJe vuaJfo /vuJh bNel ) 185.00 9.50 ytNe»t RL£tftul «t.je. 06.02.2021 vjfCtR mhJigt Ch<CtR ati^he vhuNCtR Ntn
2017-18,61,South,FtuFht,44 KHOKHRA,180.0,11.1,11.10.2020,Ashish Infracon Pvt Ltd,,FtuFht Rzje ¢tum htuz &e mkSJle mw^eltu htuz (nuJe vuaJfo /vuJh bNel ) 180.00 8.80 ytNe»t RL£tftul «t.je. 11.10.2020 vjfCtR mhJigt Ch<CtR ati^he vhuNCtR Ntn
2017-18,62,South,FtuFht,44 KHOKHRA,287.0,8.02,08.02.2021,Ashish Infracon Pvt Ltd,,FtuFht bKegtmt lt swœt swœt htuz 287.00 5.50 ytNe»t RL£tftul «t.je. 08.02.2021 vjfCtR mhJigt Ch<CtR ati^he vhuNCtR Ntn
2017-18,63,South,FtuFht,44 KHOKHRA,160.0,12.1,12.10.2020,Ashish Infracon Pvt Ltd,,FtuFht Rzje ¢tum htuz &e Rjts mw^eltu htuz (nuJe vuaJfo /vuJh bNel ) 160.00 9.30 ytNe»t RL£tftul «t.je. 12.10.2020 vjfCtR mhJigt Ch<CtR ati^he vhuNCtR Ntn
2017-18,64,South,RLîvwhe,42 INDRAPURI,618.6,10.0,10-01-22,Ashish Infracon Pvt Ltd,,RLîvwhe hrJ vtl vtjoh &e sgNrf< ftujtule hejtRLmJ xtJh &R bkdjb mtumtgxe lu stuz<tu htuz 618.60 8.28 ytNe»t RL£tftul «t.je. 10-01-22 silefCtR mthkd hbuNCtR cthigt xe.yu.JmtJt
2017-18,65,South,RLîvwhe,42 INDRAPURI,223.4,10.0,10-01-22,Ashish Infracon Pvt Ltd,,RLîvwhe hf<ve<egtldhltu htuz 223.40 3.69 ytNe»t RL£tftul «t.je. 10-01-22 hsleftk<CtR bufJtl hbuNCtR cthigt xe.yu.JmtJt
2017-18,66,South,RLîvwhe,42 INDRAPURI,200.0,13.0,13-02-22,Ashish Infracon Pvt Ltd,,RLîvwhe hextldh mtumtgxe xe.ve htuz 200.00 5.88 ytNe»t RL£tftul «t.je. 13-02-22 hsleftk<CtR bufJtl hbuNCtR cthigt xe.yu.JmtJt
2017-18,67,South,RLîvwhe,42 INDRAPURI,507.1,8.0,08-01-22,Ashish Infracon Pvt Ltd,,RLîvwhe Rµhf]vtmtumtgxe Mxtubo Jtuxh vkved &R h^wJeh &R ybhlt& mtumtgxe buœtl mtbultu htuz 507.10 5.26 ytNe»t RL£tftul «t.je. 08-01-22 silefCtR mthkd hbuNCtR cthigt xe.yu.JmtJt
2017-18,68,South,Rmlvwh,45 ISANPUR,338.0,14.0,14-10-20,Ashish Infracon Pvt Ltd,,Rmlvwh jje<t mtumtgxe&e atufme mtumtgxe mwDeltu hM<tu 338.00 5.20 ytNe»t RL£tftul «t.je. 14-10-20 yljCtR Ntn mw»btcul vxuj ©ev<e btY<e
2017-18,69,South,Rmlvwh,45 ISANPUR,400.0,10.0,20-05-21,Ashish Infracon Pvt Ltd,,Rmlvwh btu<ectd nlwbtl &e æJle mtumtgxe mw^e 400.00 10.00 ytNe»t RL£tftul «t.je. 20-05-21 CtJuNCtR vxuj mw»btcul vxuj ©ev<e btY<e jkctE vntu¤tE yt.E. yt.me.E. zu.me.R. 2017-18 ylw. lkk. Ítul Jtuzo htuzlwkk ltb ¾tuLx[[t.lwkk ltb DLP vwwKo &l
2017-18,70,South,Rmlvwh,45 ISANPUR,240.0,19.0,19-05-21,Ashish Infracon Pvt Ltd,,Rmlvwh æJle mtumtgxe &e Lgw Jtuxh vkved MxuNl mw^e 240.00 9.20 ytNe»t RL£tftul «t.je. 19-05-21 CtJuNCtR vxuj mw»btcul vxuj ©ev<e btY<e
2017-18,71,South,Rmlvwh,45 ISANPUR,163.1,24.0,24-05-21,Ashish Infracon Pvt Ltd,,Rmlvwh NtfwkL•tj yuvtxo buLx &e ltduµh bntœuJ htuz 163.10 9.40 ytNe»t RL£tftul «t.je. 24-05-21 yljCtR Ntn mw»btcul vxuj ©ev<e btY<e
2017-18,72,South,Rmlvwh,45 ISANPUR,610.0,16.0,11-03-22,Ashish Infracon Pvt Ltd,,Rmlvwh Mb]Â< bkÂœh vtKele xtkfe &e vthm ldhltu hM<tu 610.00 16.00 ytNe»t RL£tftul «t.je. 11-03-22 yljCtR Ntn mw»btcul vxuj vhuNCtR Ntn
2017-18,73,South,Rmlvwh,45 ISANPUR,690.0,21.0,21-02-21,Ashish Infracon Pvt Ltd,,Rmlvwh Rµh ftkm &e ybwj ftuloh mw^e ltu hM<tu 690.00 9.00 ytNe»t RL£tftul «t.je. 21-02-21 yljCtR Ntn mw»btcul vxuj vhuNCtR Ntn
2017-18,74,South,JxJt,47 VATVA,500.0,2.0,02-04-21,Ashish Infracon Pvt Ltd,,JxJt htbldh &R Sgt bMSœ mwDe 500.00 7.50 ytNe»t RL£tftul «t.je. 02-04-21 rJlg vxuj hbuNCtR cthigt ©ev<e btY<e
2017-18,75,South,JxJt,47 VATVA,312.0,10.0,16-03-22,Ashish Infracon Pvt Ltd,,JxJt nelt Jtuht Mfwj&e vwrl<ldh huÕJu jtRl <hV ltu hM<tu 312.00 10.00 ytNe»t RL£tftul «t.je. 16-03-22 rJlg vxuj rfhK «òvr< vhuNCtR Ntn
2017-18,76,South,JxJt,47 VATVA,492.0,10.0,26-12-21,Ashish Infracon Pvt Ltd,,JxJt nelt Jtuht Mfwj &e ÂJmtbtu Vjuxle mtbu&e lejdehe vtfo-vtmultu htuz 492.00 10.00 ytNe»t RL£tftul «t.je. 26-12-21 rJlg vxuj rfhK «òvr< vhuNCtR Ntn
2017-18,77,South,JxJt,47 VATVA,1675.0,1.0,01-01-22,Nar Narayan Infrastructure Pvt Ltd,,JxJt ntubdtzo yturVm &e bntœuJvwht dtbze htuz 1675.00 9.00 lhlthtgK RL£tMx[fah «t.je. 01-01-22 rJlg vxuj c{esuN htJj rfhK «òvr< yNtufCtR mfNult vhuNCtR Ntn
