sr_no,name,prabhag_no,ward_name,party,contact_email,term,source
25,MADHURI YOGESH BHOIR,025,R/South Ward,,councillor025.rs@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
26,PRITAM GAUTAM PANDAGALE,026,R/South Ward,,councillor026.rs@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
27,SUREKHA MANOJKUMAR PATIL,027,R/South Ward,,councillor027.rs@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
28,EKNATH DYANDEV HUNDARE,028,R/South Ward,,councillor028.rs@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
29,SAGAR RAMESH SINGH THAKUR,029,R/South Ward,,councillor029.rs@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
30,LEENA PATEL - DEHERKAR,030,R/South Ward,,councillor030.rs@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
31,KAMLESH SHOBHNATH YADAV,031,R/South Ward,,councillor031.rs@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
32,GEETA KIRAN BHANDARI,032,P/North Ward,,councillor032.pn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
33,VIRENDRA TUKARAM CHOUDHARI,033,P/North Ward,,councillor033.pn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
34,QUMARJAHAN SIDDIQUI,034,P/North Ward,,councillor034.pn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
35,SEJAL PRASHANT DESAI,035,P/North Ward,,councillor035.pn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
36,DAKSHA JAGDISH PATEL,036,P/North Ward,,councillor036.pn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
37,PRATIBHA HEMANT SHINDE,037,P/North Ward,,councillor037.pn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
38,ATMARAM LAXMAN CHACHE,038,P/North Ward,,councillor038.pn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
39,VINAYA VISHNU SAWANT,039,P/North Ward,,councillor039.pn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
40,SUHAS CHANDRAKANT WADKAR,040,P/North Ward,,councillor040.pn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
41,TULSHIRAM DHONDIBA SHINDE,041,P/North Ward,,councillor041.pn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
42,DHANASHREE VAIBHAV BHARADKAR,042,P/North Ward,,councillor042.pn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
43,VINOD UDAYNARAYAN MISHRA,043,P/North Ward,,councillor043.pn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
44,SANGITA GYANMURTI SHARMA,044,P/North Ward,,councillor044.pn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
45,RAMNARAYAN AMTHARAM BAROT,045,P/North Ward,,councillor045.pn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
46,YOGITA SUNIL KOLI,046,P/North Ward,,councillor046.pn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
47,JAYA SATNAMSING TIWANA,047,P/North Ward,,councillor047.pn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
48,SALMA SALIM ALMELKAR,048,P/North Ward,,councillor048.pn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
49,SANGITA SANJAY SUTAR,049,P/North Ward,,councillor049.pn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
50,DEEPAK JAYPRAKASH THAKUR,050,P/South Ward,,councillor050.ps@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
51,SWAPNIL MOHAN TEMBVALKAR,051,P/South Ward,,councillor051.ps@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
52,PRITI MANOJ SATAM,052,P/South Ward,,councillor052.ps@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
53,REKHA DADASAHEB RAMVANSHI,053,P/South Ward,,councillor053.ps@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
54,SADHANA SADASHIV MANE,054,P/South Ward,,councillor054.ps@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
55,HARSH BHARGAV PATEL,055,P/South Ward,,councillor055.ps@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
56,RAJUL SAMEER DESAI,056,P/South Ward,,councillor056.ps@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
57,SHRIKALA RAMCHANDRAN PILLAI,057,P/South Ward,,councillor057.ps@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
58,SANDEEP DILIP PATEL,058,P/South Ward,,councillor058.ps@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
59,PRATIMA SHAILESH KHOPDE,059,K/West Ward,,councillor059.kw@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
60,YOGIRAJ NARAYANRAO DABHADKAR,060,K/West Ward,,councillor060.kw@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
61,RAJUL SURESH PATEL,061,K/West Ward,,councillor061.kw@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
62,RAJU SHRIPAD PEDNEKAR,062,K/West Ward,,councillor062.kw@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
63,RANJANA UJWAL PATIL,063,K/West Ward,,councillor063.kw@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
64,SHAHIDA HARUN RASHID KHAN,064,K/West Ward,,councillor064.kw@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
65,ALPA ASHOK JADHAV,065,K/West Ward,,councillor065.kw@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
66,MEHAR MOHSIN HAIDER,066,K/West Ward,,councillor066.kw@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
67,SUDHA SHAMBHUNATH SING,067,K/West Ward,,councillor067.kw@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
68,ROHAN SHASHINDRA RATHOD,068,K/West Ward,,councillor068.kw@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
69,RENU NAUSHIL HANSARAJ,069,K/West Ward,,councillor069.kw@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
70,SUNITA RAJESH MEHTA,070,K/West Ward,,councillor070.kw@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
71,ANISH NAVAL MAKWANI,071,K/West Ward,,councillor071.kw@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
72,PANKAJ SHOBHNATH YADAV,072,K/East Ward,,councillor072.ke@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
73,PRAVIN GAJANAN SHINDE,073,K/East Ward,,councillor073.ke@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
74,UJWALA SHRIKRISHNA MODAK,074,K/East Ward,,councillor074.ke@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
75,PRIYANKA PRAMOD SAWANT,075,K/East Ward,,councillor075.ke@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
76,NITIN BANDOPANT SALAGRE,076,K/East Ward,,councillor076.ke@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
77,ANANT BHIKU NAR,077,K/East Ward,,councillor077.ke@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
78,VACANT,078,K/East Ward,,councillor078.ke@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
79,SADANAND WAMAN PARAB,079,K/East Ward,,councillor079.ke@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
80,SUNIL LALANPRASAD YADAV,080,K/East Ward,,councillor080.ke@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
81,SANDEEP RAJU NAIK,081,K/East Ward,,councillor081.ke@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
82,JAGDHISH KUTTI (ANNA) AMIN,082,K/East Ward,,councillor082.ke@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
83,VINNIFRED BAPTIST D'SOUZA,083,K/East Ward,,councillor083.ke@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
84,ABHIJIT GANPAT SAMANT,084,K/East Ward,,councillor084.ke@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
85,JYOTI PARAG ALWANI,085,K/East Ward,,councillor085.ke@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
86,SUSHMA KAMLESH RAI,086,K/East Ward,,councillor086.ke@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
87,VISHWANATH PANDURANG MAHADESHWAR,087,H/East Ward,,councillor087.he@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
88,SADANAND (SADA) GAJANAN PARAB,088,H/East Ward,,councillor088.he@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
89,DINESH KASHIRAM KUBAL,089,H/East Ward,,councillor089.he@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
90,TULIP BRIAN MIRANDA,090,H/East Ward,,councillor090.he@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
91,MOHAMMED RAFIQUE MUSTAFA HUSAIN SHAIKH,091,H/East Ward,,councillor091.he@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
92,GULNAZ MO. SALIM QURESHI,092,H/East Ward,,councillor092.he@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
93,ROHINI YOGESH KAMBLE,093,H/East Ward,,councillor093.he@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
94,PRADNYA DEEPAK BHUTKAR,094,H/East Ward,,councillor094.he@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
95,CHANDRASHEKHAR VASUDEO WAYANGANKAR,095,H/East Ward,,councillor095.he@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
96,HAJI MOHAMMED HALIM KHAN,096,H/East Ward,,councillor096.he@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
97,HETAL GALA,097,H/West Ward,,councillor097.hw@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
98,ALKA SUBHASH KERKAR,098,H/West Ward,,councillor098.hw@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
99,SANJAY GULABRAO AGALDARE,099,H/West Ward,,councillor099.hw@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
100,SWAPNA VIRENDRA MHATRE,100,H/West Ward,,councillor100.hw@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
101,ASIF AHMED ZAKARIA,101,H/West Ward,,councillor101.hw@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
102,MUMTAZ RAHEBAR KHAN,102,H/West Ward,,councillor102.hw@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
103,MANOJ KISHORBHAI KOTAK,103,T Ward,,councillor103.t@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
104,PRAKASH KASHINATH GANGADHARE,104,T Ward,,councillor104.t@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
105,RAJANI NARESH KENI,105,T Ward,,councillor105.t@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
106,PRABHAKAR SHINDE,106,T Ward,,councillor106.t@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
107,SAMITA VINOD KAMBLE,107,T Ward,,councillor107.t@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
108,NEIL KIRIT SOMAIYA,108,T Ward,,councillor108.t@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
109,DIPALI DIPAK GOSAVI,109,S Ward,,councillor109.s@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
110,ASHA SURESH KOPARKAR,110,S Ward,,councillor110.s@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
111,SARIKA MANGESH PAWAR,111,S Ward,,councillor111.s@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
112,SAKSHI DEEPAK DALVI,112,S Ward,,councillor112.s@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
113,DEEPMALA BABAN BADHE,113,S Ward,,councillor113.s@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
114,RAMESH GAJANAN KORGAONKAR,114,S Ward,,councillor114.s@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
115,UMESH SUBHASH MANE,115,S Ward,,councillor115.s@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
116,JAGRUTI PRATIK PATIL,116,S Ward,,councillor116.s@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
117,SUVARNA SAHADEV KARANJE,117,S Ward,,councillor117.s@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
118,UPENDRA DATTARAM SAWANT,118,S Ward,,councillor118.s@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
119,MANISHA HARISHCHANDRA RAHATE,119,S Ward,,councillor119.s@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
120,RAJRAJESHWARI ANIL REDKAR,120,S Ward,,councillor120.s@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
121,CHANDRAVATI SHIVAJI MORE,121,S Ward,,councillor121.s@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
122,VAISHALI SHRIKANT PATIL,122,S Ward,,councillor122.s@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
123,SNEHAL SUNIL MORE,123,N Ward,,councillor123.n@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
124,JYOTI HARUN KHAN,124,N Ward,,councillor124.n@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
125,RUPALI SURESH AVALE,125,N Ward,,councillor125.n@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
126,ARCHANA SANJAY BHALERAO,126,N Ward,,councillor126.n@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
127,TUKARAM KRISHNA PATIL,127,N Ward,,councillor127.n@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
128,ASHWINI DEEPAKBABA HANDE,128,N Ward,,councillor128.n@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
129,SURYAKANT JAYHARI GAWALI,129,N Ward,,councillor129.n@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
130,BINDU CHETAN TRIVEDI,130,N Ward,,councillor130.n@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
131,RAKHI HARISHCHANDRA JADHAV,131,N Ward,,councillor131.n@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
132,PARAG KISHOR SHAH,132,N Ward,,councillor132.n@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
133,PARMESHWAR TUKARAM KADAM,133,N Ward,,councillor133.n@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
134,SHAYRA SHAFAHAD KHAN,134,M/East Ward,,councillor134.me@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
135,SAMIKSHA DIPAK SAKRE,135,M/East Ward,,councillor135.me@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
136,RUKSANA NAZIM SIDDHIQI,136,M/East Ward,,councillor136.me@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
137,AYESHA RAFIQUE SHAIKH,137,M/East Ward,,councillor137.me@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
138,AYESHABANO AIN MOHAMMED KHAN,138,M/East Ward,,councillor138.me@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
139,AKHTAR ABDULRAJJAK QURESHI,139,M/East Ward,,councillor139.me@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
140,NADIYA MOHSIN SHAIKH,140,M/East Ward,,councillor140.me@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
141,VITTHAL GOVIND LOKARE,141,M/East Ward,,councillor141.me@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
142,VAISHALI NAVIN SHEWALE,142,M/East Ward,,councillor142.me@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
143,RUTUJA HRIDAYANATH TARI,143,M/East Ward,,councillor143.me@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
144,ANITA DINESH PANCHAL,144,M/East Ward,,councillor144.me@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
145,SHAHNAWAZ SARFARAZ HUSAIN SHAIKH,145,M/East Ward,,councillor145.me@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
146,SAMRUDDHI GANESH KATE,146,M/East Ward,,councillor146.me@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
147,ANJALI SANJAY NAIK,147,M/East Ward,,councillor147.me@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
148,NIDHI PRAMOD SHINDE,148,M/East Ward,,councillor148.me@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
149,SUSHAM GOPAL SAWANT,149,M/West Ward,,councillor149.mw@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
150,SANGEETA CHANDRAKANT HANDORE,150,M/West Ward,,councillor150.mw@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
151,RAJESH OMPRAKASH FULWARIYA,151,M/West Ward,,councillor151.mw@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
152,ASHA SUBHASH MARATHE,152,M/West Ward,,councillor152.mw@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
153,ANIL RAMCHANDRA PATANKAR,153,M/West Ward,,councillor153.mw@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
154,MAHADEO SHANKAR SHIVGAN,154,M/West Ward,,councillor154.mw@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
155,SHRIKANT GOVIND SHETYE,155,M/West Ward,,councillor155.mw@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
156,ASHWINI ASHOK MATEKAR,156,L ward,,councillor156.l@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
157,AAKANKSHA SANJAY SHETYE,157,L ward,,councillor157.l@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
158,CHITRA SOMNATH SANGLE,158,L ward,,councillor158.l@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
159,PRAKASH DEVJI MORE,159,L ward,,councillor159.l@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
160,KIRAN JYOTIRAM LANDGE,160,L ward,,councillor160.l@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
161,VIJAYENDRA OMKAR SHINDE,161,L ward,,councillor161.l@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
162,WAJID WAHID QURESHI,162,L ward,,councillor162.l@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
163,DILIP BHAUSAHEB LANDE,163,L ward,,councillor163.l@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
164,HARISH KRISHNA BHANDIRGE,164,L ward,,councillor164.l@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
165,MOHAMMED ASHRAF MOHAMMED ASLAM AZMI,165,L ward,,councillor165.l@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
166,SANJAY RAMCHANDRA TURDE,166,L ward,,councillor166.l@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
167,DILSHADBANU MOHAMMED ASHRAF AZMI,167,L ward,,councillor167.l@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
168,SAEEDA KHAN,168,L ward,,councillor168.l@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
169,PRAVINA MANISH MORAJKAR,169,L ward,,councillor169.l@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
170,ABDUL RASHID KAPTAN MALIK,170,L ward,,councillor170.l@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
171,SANVI VIJAY TANDEL,171,L ward,,councillor171.l@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
172,RAJESHREE RAJESH SHIRWADKAR,172,F/North Ward,,councillor172.fn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
173,RAMDAS DEVIDAS KAMBLE,173,F/North Ward,,councillor173.fn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
174,KRISHNAVENI VINOD REDDY,174,F/North Ward,,councillor174.fn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
175,MANGESH SHRIDHAR SATAMKAR,175,F/North Ward,,councillor175.fn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
176,RAVI RAJA,176,F/North Ward,,councillor176.fn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
177,NEHAL SHAH,177,F/North Ward,,councillor177.fn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
178,AMEY ARUN GHOLE,178,F/North Ward,,councillor178.fn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
179,SUFIYAN NIYAZ AHMED VANU,179,F/North Ward,,councillor179.fn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
180,SMITA SHARAD GAONKAR,180,F/North Ward,,councillor180.fn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
181,PUSHPA KRISHNA KOLI,181,F/North Ward,,councillor181.fn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
182,MILIND DATTARAM VAIDYA,182,G/North Ward,,councillor182.gn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
183,GANGA KUNAL MANE,183,G/North Ward,,councillor183.gn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
