library_id,name,service_tier,source_location_type,hierarchy_rank,physical_access_model,zone,address,latitude,longitude,coordinate_status,coordinate_provenance_group,geocode_confidence,geocode_provider,max_seating_capacity,opening_hours,weekly_open_hours,branch_collection_size,collection_types,branch_detail_status,usable_for_internal_access_model,usable_for_public_open_dataset,notes
dpl_janak_puri_0030,Janak Puri,sub_branch_library,sub_branch_library,40,fixed_local_service,west,"Delhi Public Library, Community Centre, C Block, Behind Janak Cinema, New Delhi-110058",28.6121455,77.0950019,located,source_or_dpl_map,dpl_maps_pin,dpl_google_maps,,,,,,missing_branchwise_public_detail,yes,yes,Fixed local sub-branch parsed from DPL zone pages.
dpl_kasturba_gandhi_marg_0033,Kasturba Gandhi Marg,sub_branch_library,sub_branch_library,40,fixed_local_service,west,"Delhi Public Library, Asia House (First Floor), Near Vidhya Bharati School, K.G.Marg, New Delhi-110001",28.6208403,77.2260704,located,source_or_dpl_map,dpl_maps_pin,dpl_google_maps,,,,,,missing_branchwise_public_detail,yes,yes,Fixed local sub-branch parsed from DPL zone pages.
dpl_peshwa_road_0031,Peshwa Road,sub_branch_library,sub_branch_library,40,fixed_local_service,west,"Delhi Public Library, Samaj Sadan 1st floor, Grih Kalyan Kendra, Near Gole Market, New Delhi-110001",28.635237,77.203805,located,source_or_dpl_map,dpl_maps_pin,dpl_google_maps,,,,,,missing_branchwise_public_detail,yes,yes,Fixed local sub-branch parsed from DPL zone pages.
dpl_tihar_jail_0035,Tihar Jail,sub_branch_library,sub_branch_library,40,fixed_local_service,west,"Delhi Public Library, Gate No 2, Tihar Jail complex, New Delhi-110064",28.620507,77.099508,located,source_or_dpl_map,dpl_maps_pin,dpl_google_maps,,,,,,missing_branchwise_public_detail,yes,yes,Fixed local sub-branch parsed from DPL zone pages.
dpl_tri_nagar_0034,Tri Nagar,sub_branch_library,sub_branch_library,40,fixed_local_service,west,"Delhi Public Library, MCD Building, Talab Road, Totaram Bazar, Tri Nagar, Delhi-110035",28.6764093,77.1626385,located,source_or_dpl_map,dpl_maps_pin,dpl_google_maps,,,,,,missing_branchwise_public_detail,yes,yes,Fixed local sub-branch parsed from DPL zone pages.
dpl_lodhi_colony_0028,Lodhi Colony,community_library,community_library,50,fixed_local_service,south,"Delhi Public Library, Community Centre, Lodhi Colony, New Delhi-110003",28.5843945,77.2247873,located,source_or_dpl_map,dpl_maps_pin,dpl_google_maps,,,,,,missing_branchwise_public_detail,yes,yes,Fixed community library parsed from DPL zone pages.
dpl_mobile_service_point_001_0036,Mobile Service Point 001,mobile_service_point,mobile_service_point,60,scheduled_mobile_stop,mobile,"RWA Pocket-2, Near Mayur Vihar Police Station, Mayur Vihar, Phase I, Delhi",28.6071444,77.304062,located,google_geocode,google_verified,google:ROOFTOP,,,,,,missing_branchwise_public_detail,yes,no,Scheduled mobile-library stop; not equivalent to a permanent branch. Coordinates are Google-geocoded and are internal-use until independently verified.
dpl_mobile_service_point_002_0037,Mobile Service Point 002,mobile_service_point,mobile_service_point,60,scheduled_mobile_stop,mobile,"The East End Apartments, Mayur Vihar-I, Near New Ashok Nagar Metro Station, Delhi",28.6042259,77.289608,located,google_geocode,google_approx,google:GEOMETRIC_CENTER,,,,,,missing_branchwise_public_detail,yes,no,Scheduled mobile-library stop; not equivalent to a permanent branch. Coordinates are Google-geocoded and are internal-use until independently verified.
dpl_mobile_service_point_003_0038,Mobile Service Point 003,mobile_service_point,mobile_service_point,60,scheduled_mobile_stop,mobile,"DDA Flats, Near Batra Cinema, Mukherji Nagar, Delhi",28.7274374,77.16332760000002,located,google_geocode,google_verified,google:ROOFTOP,,,,,,missing_branchwise_public_detail,yes,no,Scheduled mobile-library stop; not equivalent to a permanent branch. Coordinates are Google-geocoded and are internal-use until independently verified.
dpl_mobile_service_point_004_0039,Mobile Service Point 004,mobile_service_point,mobile_service_point,60,scheduled_mobile_stop,mobile,"Near Shalimar Park, Main Road, Model Town Pt-II, Delhi",28.7128805,77.1767616,located,google_geocode,google_approx,google:GEOMETRIC_CENTER,,,,,,missing_branchwise_public_detail,yes,no,Scheduled mobile-library stop; not equivalent to a permanent branch. Coordinates are Google-geocoded and are internal-use until independently verified.
dpl_mobile_service_point_005_0040,Mobile Service Point 005,mobile_service_point,mobile_service_point,60,scheduled_mobile_stop,mobile,"Arya Samaj Road, B-Block, Near Meerut Sweets, Main Road, Majlis Park, Delhi-33",28.7163662,77.17842379999999,located,google_geocode,google_verified,google:ROOFTOP,,,,,,missing_branchwise_public_detail,yes,no,Scheduled mobile-library stop; not equivalent to a permanent branch. Coordinates are Google-geocoded and are internal-use until independently verified.
dpl_mobile_service_point_006_0041,Mobile Service Point 006,mobile_service_point,mobile_service_point,60,scheduled_mobile_stop,mobile,"Opp. Amar Farm, East Gokul Pur, Delhi",28.7042727,77.3002127,located,google_geocode,google_approx,google:APPROXIMATE,,,,,,missing_branchwise_public_detail,yes,no,Scheduled mobile-library stop; not equivalent to a permanent branch. Coordinates are Google-geocoded and are internal-use until independently verified.
dpl_mobile_service_point_007_0042,Mobile Service Point 007,mobile_service_point,mobile_service_point,60,scheduled_mobile_stop,mobile,"Opp.Tyagi Dairy, Mandoli Road, Ashok Nagar, Delhi-94",28.6914499,77.3000783,located,google_geocode,google_verified,google:ROOFTOP,,,,,,missing_branchwise_public_detail,yes,no,Scheduled mobile-library stop; not equivalent to a permanent branch. Coordinates are Google-geocoded and are internal-use until independently verified.
dpl_mobile_service_point_008_0043,Mobile Service Point 008,mobile_service_point,mobile_service_point,60,scheduled_mobile_stop,mobile,"Residential Quarter, Z Block (4 Storeyed Quarter), Timar Pur, Delhi-54",28.6986023,77.0477775,located,google_geocode,google_verified,google:ROOFTOP,,,,,,missing_branchwise_public_detail,yes,no,Scheduled mobile-library stop; not equivalent to a permanent branch. Coordinates are Google-geocoded and are internal-use until independently verified.
dpl_mobile_service_point_009_0044,Mobile Service Point 009,mobile_service_point,mobile_service_point,60,scheduled_mobile_stop,mobile,"Delhi Administrative Colony, Timar Pur, Delhi-54",28.6704363,77.22057629999999,located,google_geocode,google_verified,google:ROOFTOP,,,,,,missing_branchwise_public_detail,yes,no,Scheduled mobile-library stop; not equivalent to a permanent branch. Coordinates are Google-geocoded and are internal-use until independently verified.
dpl_mobile_service_point_010_0045,Mobile Service Point 010,mobile_service_point,mobile_service_point,60,scheduled_mobile_stop,mobile,"Near Bloom Field Public School, DDA Flats, Dilshad Garden, Delhi-93",28.6828583,77.32317669999999,located,google_geocode,google_verified,google:ROOFTOP,,,,,,missing_branchwise_public_detail,yes,no,Scheduled mobile-library stop; not equivalent to a permanent branch. Coordinates are Google-geocoded and are internal-use until independently verified.
dpl_mobile_service_point_011_0046,Mobile Service Point 011,mobile_service_point,mobile_service_point,60,scheduled_mobile_stop,mobile,"Near Sports Complex, Janta Flats, Guru Teg Bahadur Enclave, Delhi-93",28.6893556,77.3119768,located,google_geocode,google_approx,google:GEOMETRIC_CENTER,,,,,,missing_branchwise_public_detail,yes,no,Scheduled mobile-library stop; not equivalent to a permanent branch. Coordinates are Google-geocoded and are internal-use until independently verified.
dpl_mobile_service_point_012_0047,Mobile Service Point 012,mobile_service_point,mobile_service_point,60,scheduled_mobile_stop,mobile,"Near Rath Wala Mandir, Main Road, Yamuna Vihar, Delhi-53",28.700191,77.281958,located,google_geocode,google_verified,google:ROOFTOP,,,,,,missing_branchwise_public_detail,yes,no,Scheduled mobile-library stop; not equivalent to a permanent branch. Coordinates are Google-geocoded and are internal-use until independently verified.
dpl_mobile_service_point_013_0048,Mobile Service Point 013,mobile_service_point,mobile_service_point,60,scheduled_mobile_stop,mobile,"Near Birla Mil Staff Quarters, Kamla Nagar, Delhi-07",28.6856508,77.20240419999999,located,google_geocode,google_verified,google:ROOFTOP,,,,,,missing_branchwise_public_detail,yes,no,Scheduled mobile-library stop; not equivalent to a permanent branch. Coordinates are Google-geocoded and are internal-use until independently verified.
dpl_mobile_service_point_014_0049,Mobile Service Point 014,mobile_service_point,mobile_service_point,60,scheduled_mobile_stop,mobile,"Near Govt. Girls Sr. Sec. School, Nagia Park, Shakti Nagar, Delhi-07",28.6797287,77.19580479999999,located,google_geocode,google_approx,google:GEOMETRIC_CENTER,,,,,,missing_branchwise_public_detail,yes,no,Scheduled mobile-library stop; not equivalent to a permanent branch. Coordinates are Google-geocoded and are internal-use until independently verified.
dpl_mobile_service_point_015_0050,Mobile Service Point 015,mobile_service_point,mobile_service_point,60,scheduled_mobile_stop,mobile,"Near DDA Flats, Ashok Vihar, Delhi",28.7012492,77.1294954,located,google_geocode,google_approx,google:GEOMETRIC_CENTER,,,,,,missing_branchwise_public_detail,yes,no,Scheduled mobile-library stop; not equivalent to a permanent branch. Coordinates are Google-geocoded and are internal-use until independently verified.
dpl_mobile_service_point_016_0051,Mobile Service Point 016,mobile_service_point,mobile_service_point,60,scheduled_mobile_stop,mobile,"CRPF Camp, Mayur Vihar-III, Delhi",28.6117165,77.339893,located,google_geocode,google_approx,google:GEOMETRIC_CENTER,,,,,,missing_branchwise_public_detail,yes,no,Scheduled mobile-library stop; not equivalent to a permanent branch. Coordinates are Google-geocoded and are internal-use until independently verified.
dpl_mobile_service_point_017_0052,Mobile Service Point 017,mobile_service_point,mobile_service_point,60,scheduled_mobile_stop,mobile,Near church block 13 Trilokpuri Delhi.,28.6112845,77.3071338,located,google_geocode,google_approx,google:APPROXIMATE,,,,,,missing_branchwise_public_detail,yes,no,Scheduled mobile-library stop; not equivalent to a permanent branch. Coordinates are Google-geocoded and are internal-use until independently verified.
dpl_mobile_service_point_018_0053,Mobile Service Point 018,mobile_service_point,mobile_service_point,60,scheduled_mobile_stop,mobile,Opposite to D7 market Vishram Chowk Sector 5 Delhi.,28.7109675,77.1049628,located,google_geocode,google_verified,google:ROOFTOP,,,,,,missing_branchwise_public_detail,yes,no,Scheduled mobile-library stop; not equivalent to a permanent branch. Coordinates are Google-geocoded and are internal-use until independently verified.
dpl_mobile_service_point_019_0054,Mobile Service Point 019,mobile_service_point,mobile_service_point,60,scheduled_mobile_stop,mobile,Govt. Co-ed. Senior secondary school Shahbad dairy Near Sant Javiour school Main road Delhi-110042,28.717251,77.175591,located,google_geocode,google_approx,google:GEOMETRIC_CENTER,,,,,,missing_branchwise_public_detail,yes,no,Scheduled mobile-library stop; not equivalent to a permanent branch. Coordinates are Google-geocoded and are internal-use until independently verified.
dpl_mobile_service_point_020_0055,Mobile Service Point 020,mobile_service_point,mobile_service_point,60,scheduled_mobile_stop,mobile,Opposite Gomti appartment gate Kalkaji extension New Delhi.,28.5273901,77.2618876,located,google_geocode,google_approx,google:GEOMETRIC_CENTER,,,,,,missing_branchwise_public_detail,yes,no,Scheduled mobile-library stop; not equivalent to a permanent branch. Coordinates are Google-geocoded and are internal-use until independently verified.
dpl_mobile_service_point_021_0056,Mobile Service Point 021,mobile_service_point,mobile_service_point,60,scheduled_mobile_stop,mobile,Gate no. 1 Najeevan Vihar Delhi,28.5334761,77.1995558,located,google_geocode,google_verified,google:ROOFTOP,,,,,,missing_branchwise_public_detail,yes,no,Scheduled mobile-library stop; not equivalent to a permanent branch. Coordinates are Google-geocoded and are internal-use until independently verified.
dpl_mobile_service_point_022_0057,Mobile Service Point 022,mobile_service_point,mobile_service_point,60,scheduled_mobile_stop,mobile,Near water booster pumping station Delhi jal Boad block G sector 15 Rohini Delhi-110085,28.73155269999999,77.12766289999999,located,google_geocode,google_approx,google:APPROXIMATE,,,,,,missing_branchwise_public_detail,yes,no,Scheduled mobile-library stop; not equivalent to a permanent branch. Coordinates are Google-geocoded and are internal-use until independently verified.
dpl_mobile_service_point_023_0058,Mobile Service Point 023,mobile_service_point,mobile_service_point,60,scheduled_mobile_stop,mobile,"Sai Chowk RWA, Pocket E Near Canara bank,Mayur Vihar, Phase-2 Delhi-110091",28.618626,77.296875,located,google_geocode,google_approx,google:GEOMETRIC_CENTER,,,,,,missing_branchwise_public_detail,yes,no,Scheduled mobile-library stop; not equivalent to a permanent branch. Coordinates are Google-geocoded and are internal-use until independently verified.
dpl_mobile_service_point_024_0059,Mobile Service Point 024,mobile_service_point,mobile_service_point,60,scheduled_mobile_stop,mobile,"Glaxo Apartment Main Gate, Mayur Vihar Phase-I, Delhi-91",28.6146243,77.3121575,located,google_geocode,google_approx,google:APPROXIMATE,,,,,,missing_branchwise_public_detail,yes,no,Scheduled mobile-library stop; not equivalent to a permanent branch. Coordinates are Google-geocoded and are internal-use until independently verified.
dpl_mobile_service_point_025_0060,Mobile Service Point 025,mobile_service_point,mobile_service_point,60,scheduled_mobile_stop,mobile,"Near Tikona Park, Main Market , opp. House No. 9/37 and 15/27, Subhash Nagar, New Delhi",28.6354975,77.1197004,located,google_geocode,google_verified,google:ROOFTOP,,,,,,missing_branchwise_public_detail,yes,no,Scheduled mobile-library stop; not equivalent to a permanent branch. Coordinates are Google-geocoded and are internal-use until independently verified.
dpl_mobile_service_point_026_0061,Mobile Service Point 026,mobile_service_point,mobile_service_point,60,scheduled_mobile_stop,mobile,"Near Deendayal Hospital and Swargasram MIG flats, Mayapuri, New Delhi",28.6211381,77.1118407,located,google_geocode,google_approx,google:APPROXIMATE,,,,,,missing_branchwise_public_detail,yes,no,Scheduled mobile-library stop; not equivalent to a permanent branch. Coordinates are Google-geocoded and are internal-use until independently verified.
dpl_mobile_service_point_027_0062,Mobile Service Point 027,mobile_service_point,mobile_service_point,60,scheduled_mobile_stop,mobile,"South Delhi Municipal Corporation office, E-24 Greater Kailash, New Delhi-110048",28.5732747,77.1733778,located,google_geocode,google_verified,google:ROOFTOP,,,,,,missing_branchwise_public_detail,yes,no,Scheduled mobile-library stop; not equivalent to a permanent branch. Coordinates are Google-geocoded and are internal-use until independently verified.
dpl_mobile_service_point_028_0063,Mobile Service Point 028,mobile_service_point,mobile_service_point,60,scheduled_mobile_stop,mobile,"A- Block Quarter Pandara Road, New Delhi",28.6045971,77.2289146,located,google_geocode,google_verified,google:ROOFTOP,,,,,,missing_branchwise_public_detail,yes,no,Scheduled mobile-library stop; not equivalent to a permanent branch. Coordinates are Google-geocoded and are internal-use until independently verified.
dpl_mobile_service_point_029_0064,Mobile Service Point 029,mobile_service_point,mobile_service_point,60,scheduled_mobile_stop,mobile,"Snatan Dharam Mandir, Ambika Vihar, Near Paschim Vihar, New Delhi",28.6625868,77.1063308,located,google_geocode,google_verified,google:ROOFTOP,,,,,,missing_branchwise_public_detail,yes,no,Scheduled mobile-library stop; not equivalent to a permanent branch. Coordinates are Google-geocoded and are internal-use until independently verified.
dpl_mobile_service_point_030_0065,Mobile Service Point 030,mobile_service_point,mobile_service_point,60,scheduled_mobile_stop,mobile,"Near Telephone Exchange, Sunder Vihar, New Delhi",28.5661818,77.1648551,located,google_geocode,google_verified,google:ROOFTOP,,,,,,missing_branchwise_public_detail,yes,no,Scheduled mobile-library stop; not equivalent to a permanent branch. Coordinates are Google-geocoded and are internal-use until independently verified.
dpl_mobile_service_point_031_0066,Mobile Service Point 031,mobile_service_point,mobile_service_point,60,scheduled_mobile_stop,mobile,"Near Palam Vihar Village, Dwarka, Palam Vihar, New Delhi.",28.5146969,77.0348848,located,google_geocode,google_approx,google:APPROXIMATE,,,,,,missing_branchwise_public_detail,yes,no,Scheduled mobile-library stop; not equivalent to a permanent branch. Coordinates are Google-geocoded and are internal-use until independently verified.
dpl_mobile_service_point_032_0067,Mobile Service Point 032,mobile_service_point,mobile_service_point,60,scheduled_mobile_stop,mobile,"Near Guru Ram Dass Public Middle School and Gurudwara, Tagore Garden, New Delhi-27",28.6454794,77.1136586,located,google_geocode,google_verified,google:ROOFTOP,,,,,,missing_branchwise_public_detail,yes,no,Scheduled mobile-library stop; not equivalent to a permanent branch. Coordinates are Google-geocoded and are internal-use until independently verified.
dpl_mobile_service_point_033_0068,Mobile Service Point 033,mobile_service_point,mobile_service_point,60,scheduled_mobile_stop,mobile,"F Block, Near Park, Prashant Vihar, New Delhi",28.7157406,77.1351454,located,google_geocode,google_approx,google:APPROXIMATE,,,,,,missing_branchwise_public_detail,yes,no,Scheduled mobile-library stop; not equivalent to a permanent branch. Coordinates are Google-geocoded and are internal-use until independently verified.
dpl_mobile_service_point_034_0069,Mobile Service Point 034,mobile_service_point,mobile_service_point,60,scheduled_mobile_stop,mobile,"Near Railway Colony Gate, Shakur Basti, Delhi",28.6816903,77.1305395,located,google_geocode,google_approx,google:APPROXIMATE,,,,,,missing_branchwise_public_detail,yes,no,Scheduled mobile-library stop; not equivalent to a permanent branch. Coordinates are Google-geocoded and are internal-use until independently verified.
