ward,name,party,office_address,phone,borough,source,verification_note
20,SHRI VIJAY UPADHYAY,AITC*,"48a, Muktaram Babu Street, Kolkata -700007",,II,kmcgov_councillors_jsp,Party inferred (AITC*).
21,SMT.MIRA HAZRA,AITC*,"45a, Adyasraddha Ghat Road, Jorabagan, Kolkata-700006",,IV,kmcgov_councillors_jsp,Party inferred (AITC*).
22,SMT. MEENA DEVI PUROHIT,BJP,"42, Kali Krishna Tagore Street, Kolkata -700007",,IV,kmcgov_councillors_jsp,"Name+address from KMC. Party BJP per widely-reported 2021 result (Meena Devi Purohit, BJP); verify against WB SEC PDF when accessible."
23,SHRI VIJAY OJHA,AITC*,"1, Tansook Lane, Posta, Kolkata -700007",,IV,kmcgov_councillors_jsp,Party inferred (AITC*).
24,SMT.ELLORA SAHA,AITC*,"1,Pathuria Ghata Lane, Kolkata -700006",,IV,kmcgov_councillors_jsp,Party inferred (AITC*).
25,SHRI RAJESH KUMAR SINHA,AITC*,"13, Panchu Dhobani Gullee, kolkata -700007",,IV,kmcgov_councillors_jsp,Party inferred (AITC*).
26,SHRI TARAK NATH CHATTOPADHYAY,AITC*,"7/5, Ramesh Dutta Street, Kolkata - 700006",,IV,kmcgov_councillors_jsp,Party inferred (AITC*).
27,SMT.MINAKSHI GUPTA,AITC*,"77/S, Kailash Bose Street, Kolkata -700006",,IV,kmcgov_councillors_jsp,Party inferred (AITC*).
28,SHRI AYAN CHAKRABORTY,AITC*,"13, Ram Mohan Roy Road, Kolkata -700009",,IV,kmcgov_councillors_jsp,Party inferred (AITC*).
29,IQBAL AHMED,AITC*,"37/H/4, Canal East Road, Narkeldanga, Kolkata - 700011",,III,kmcgov_councillors_jsp,Party inferred (AITC*).
30,SMT.PAPIYA GHOSH (BISWAS),AITC*,"4/A, Sir Gurudas Road, Kolkata - 700054",,III,kmcgov_councillors_jsp,Party inferred (AITC*).
31,SHRI PARESH PAUL,AITC*,"Kankurgachia 2nd Lane, C.I.T Sch- III, BL- 7, Flat - 23, Kolkata - 700054",,III,kmcgov_councillors_jsp,Party inferred (AITC*).
32,SHRI SANTI RANJAN KUNDU,AITC*,"103, Ultadanga Main Road, B.R.S.-IV, Block 2B, Flat- 36, kolkata- 700067",,III,kmcgov_councillors_jsp,Party inferred (AITC*).
33,SHRI CHINU BISWAS,AITC*,"76/H/5, Dr. S. Ch. Banerjee Road, Kolkata - 700010",,III,kmcgov_councillors_jsp,Party inferred (AITC*).
34,SMT.ALOKANANDA DAS,AITC*,"26/A,Chaul Patty Road, P.S.: Beliaghata Kolkata-700010",,III,kmcgov_councillors_jsp,Party inferred (AITC*).
35,SHRI ASHUTOSH DAS,AITC*,"32/H, Haramohan Ghosh Lane, P.S.: Baliaghata Kolkata - 700085",,III,kmcgov_councillors_jsp,Party inferred (AITC*).
36,SHRI SACHIN KUMAR SINGH,AITC*,"7P, Baliaghata Road, Kolkata - 700015",,V,kmcgov_councillors_jsp,Party inferred (AITC*).
37,SMT.SOMA CHAUDHURI,AITC*,"34A, Raja Rammohan Roy Sarani, Kolkata- 700009",,V,kmcgov_councillors_jsp,Party inferred (AITC*).
38,SMT.SADHANA BOSE,AITC*,"26A Kalidas Singha Lane, (4th Floor), Kolkata-700009",,IV,kmcgov_councillors_jsp,Party inferred (AITC*).
39,MD. JASIMUDDIN,AITC*,"95, M. G. Road, (3rd Floor), Kolkata-700007",,IV,kmcgov_councillors_jsp,Party inferred (AITC*).
40,SMT.SUPARNA DUTTA,AITC*,"9/1, Sitaram Ghose Street, Kolkata - 700009",,V,kmcgov_councillors_jsp,Party inferred (AITC*).
41,SMT.REITA CHOWDHURY,AITC*,"33B, Madan Mohan Burman Street, Kolkata - 700007",,V,kmcgov_councillors_jsp,Party inferred (AITC*).
42,SHRI MAHESH KUMAR SHARMA,AITC*,"115, Cotton Street, Kolkata -700007",,V,kmcgov_councillors_jsp,Party inferred (AITC*).
43,AYESHA KANIZ,AITC*,"30, Ram Kamal Sen, Kolkata -700073",,V,kmcgov_councillors_jsp,Party inferred (AITC*).
44,REHANA KHATOON,AITC*,"8/1, Nilmadhab Sen Lane, Kolkata -700073",,V,kmcgov_councillors_jsp,Party inferred (AITC*).
45,SHRI SANTOSH KUMAR PATHAK,AITC*,"52, Garstin Place, Near Banksall Court Kolkata -700001",,V,kmcgov_councillors_jsp,Party inferred (AITC*).
46,SMT.PRIYANKA SAHA,AITC*,"75A, Sambhu Babu Lane, Kolkata-700014",,VI,kmcgov_councillors_jsp,Party inferred (AITC*).
47,,,,,VI,kmcgov_councillors_jsp,KMC Councillors4.jsp shows ward 47 row blank (no name listed on official page). Needs follow-up.
48,SHRI BISWARUP DEY,AITC*,"152/B, Raja Rammohan Roy Sarani, Kolkata-700009",,V,kmcgov_councillors_jsp,Party inferred (AITC*).
49,SMT.MONALISA BANERJEE,AITC*,"13, Acharya Prafulla Chandra Road, Kolkata-700009",,V,kmcgov_councillors_jsp,Party inferred (AITC*).
50,SHRI SAJAL GHOSH,BJP,"11, Huzurimal Lane, Kolkata-700014",,V,kmcgov_councillors_jsp,"Name+address from KMC. Party BJP per reported 2021 result (Sajal Ghosh, BJP); verify against WB SEC PDF."
51,SHRI INDRANIL KUMAR,AITC*,"2/1, C Neogi Pukur Bye Lane, Kolkata-700014",,VI,kmcgov_councillors_jsp,Party inferred (AITC*).
52,SMT.SOHINI MUKHERJEE,AITC*,"57/A, Taltala Library Road, Kolkata-700014",,VI,kmcgov_councillors_jsp,Party inferred (AITC*).
53,SMT.INDRANI SAHA BANERJEE,AITC*,"46J Surendra Nath Banerjee Road, Kolkata-700014",,VI,kmcgov_councillors_jsp,Party inferred (AITC*).
54,AMIRUDDIN,AITC*,"21, Tanti Bagan Road, Kolkata-700014",,VI,kmcgov_councillors_jsp,Party inferred (AITC*).
55,SMT.SABITA RANI DAS,AITC*,"P-109, Nani Gopal Roy Chowdhury Avenue (2nd Floor), CIT Road, Entally, Kolkata-700014",,VI,kmcgov_councillors_jsp,Party inferred (AITC*).
56,SHRI SWAPAN SAMADDAR,AITC*,"13A, Sir Gurudas Road, Kolkata-700054",,VII,kmcgov_councillors_jsp,Party inferred (AITC*).
57,SHRI JIBAN SAHA,AITC*,"101/108, Metropolitan Co-Op Housing Society, Sector-B, Kolkata-700105",,VII,kmcgov_councillors_jsp,Party inferred; also Borough VII Chairman (mob 9830041203).
58,SHRI SANDIPAN SAHA,AITC*,"6A Sooker Sarker Lane, Kolkata-700016",,VII,kmcgov_councillors_jsp,Party inferred (AITC*).
59,SMT.JALY BOSE,AITC*,"14/A, Mahendra Roy Lane, Kolkata-700046",,VII,kmcgov_councillors_jsp,Party inferred (AITC*).
60,KAISER JAMIL,AITC*,"40, Linton Street, Kolkata-700014",,VII,kmcgov_councillors_jsp,Party inferred (AITC*).
61,MANZAR IQBAL,AITC*,"11, Bedford Lane, Kolkata- 700016",,VI,kmcgov_councillors_jsp,Party inferred (AITC*).
62,SANA AHMED,AITC*,"94, Muzaffar Ahamed Street, Kolkata -700014",,VI,kmcgov_councillors_jsp,Party inferred (AITC*).
63,SMT.SUSMITA BHATTACHARYA (CHATTERJEE),AITC*,"22, Creek Row, Kolkata - 700014",,VII,kmcgov_councillors_jsp,Party inferred (AITC*).
64,SAMMI JAHAN BEGUM,AITC*,"A/12, Dr. Sundari Mohan Avenue, Kolkata -700014",,VII,kmcgov_councillors_jsp,Party inferred (AITC*).
65,SMT.NIBEDITA SHARMA,AITC*,"Flat LA-17, Kustia Road, Govt. Housing Estate, P.O. & P.S.: Tiljala, Kolkata -700039",,VII,kmcgov_councillors_jsp,Party inferred (AITC*).
66,AHMED FAIZ KHAN,AITC*,"2,Golam Jilani Khan Road, Kolkata- 700039",,VII,kmcgov_councillors_jsp,Party inferred (AITC*).
67,SHRI BIJAN LAL MUKHERJEE,AITC*,"8/1/1A, Dharmatala Road, P.S.: Kasba, Kolkata- 700042",,VII,kmcgov_councillors_jsp,Party inferred (AITC*).
68,SMT.SUDARSHANA MUKHERJEE,AITC*,"49/3F, Ballygunge Place, P.S.: Gariahat, P.O.: Ballygunge Kolkata- 700019",,VIII,kmcgov_councillors_jsp,Party inferred (AITC*).
69,SHRI DILIP BOSE,AITC*,"9/A, Chakraberia Lane, P.S.: Ballygunge, Kolkata-700020",,VIII,kmcgov_councillors_jsp,Party inferred (AITC*).
70,SHRI ASHIM KUMAR BOSE (BABAI),AITC*,"35A, Dr. Rajendra Road, Kolkata -700020",,VIII,kmcgov_councillors_jsp,Party inferred (AITC*).
71,SMT.PAPIA SINGH,AITC*,"58/B, Turf Road, PS. Kalighat, Kolkata -700025",,IX,kmcgov_councillors_jsp,Party inferred (AITC*).
72,SHRI SANDIP RANJAN BAKSHI,AITC*,"5A, Bakul Bagan Road, Kolkata - 700025",,VIII,kmcgov_councillors_jsp,Party inferred (AITC*).
73,SMT.KAJARI BANERJEE,AITC*,"30B, Harish Chatterjee Street, Kolkata- 700026",,IX,kmcgov_councillors_jsp,"Party inferred (AITC*). Harish Chatterjee St = CM Mamata Banerjee's ward area."
74,SMT.DEBALINA BISWAS,AITC*,"40A, Branu Field Row, P.S.: Ekbalpore Kolkata- 700027",,IX,kmcgov_councillors_jsp,Party inferred (AITC*).
75,NEZAMUDDIN SHAMS,AITC*,"32/1A, Mominpur Road, Kolkata- 700023",,IX,kmcgov_councillors_jsp,Party inferred (AITC*).
76,SHRI SASTI DAS,AITC*,"10/1, Gopal Doctor Road, Kolkata-700023",,IX,kmcgov_councillors_jsp,Party inferred (AITC*).
77,SHAMIMA REHAN KHAN,AITC*,"7, Dr Sudhir Bose Road, Kolkata-700023",,IX,kmcgov_councillors_jsp,Party inferred (AITC*).
78,SMT. SOMA DAS,AITC*,"4/3H/1, BK Road, Kolkata-700023",,IX,kmcgov_councillors_jsp,Party inferred (AITC*).
79,,,,,IX,kmcgov_councillors_jsp,KMC Councillors6.jsp shows ward 79 row blank (no name listed on official page). Needs follow-up.
80,MD. ANWAR KHAN,AITC*,"M97, Singarhati, Taratala Road, Kolkata-700024",,IX,kmcgov_councillors_jsp,Party inferred (AITC*).
81,SMT. JUI BISWAS,AITC*,"O/5, Durgapur Colony, Block-L, New Alipore",,X,kmcgov_councillors_jsp,Party inferred (AITC*).
82,FIRHAD HAKIM,AITC,"4, Peary Mohan Road, P.S.: Chetla, Kolkata-700027",,IX,kmcgov_councillors_jsp,"Firhad Hakim - was Mayor 2021-2026; RESIGNED as Mayor 3-5 June 2026 (remains councillor unless also resigned). Verify councillor status."
83,SHRI PROBIR KUMAR MUKHOPADHYAY,AITC*,"23A, Sadananda Road, Kolkata-700026",,VIII,kmcgov_councillors_jsp,Party inferred (AITC*).
84,SMT. PAROMITA CHATTERJEE,AITC*,"3, Nandalal Jew Road, Kolkata-700026",,VIII,kmcgov_councillors_jsp,Party inferred (AITC*).
85,SHRI DEBASISH KUMAR (DEBA),AITC,"35 B, Monohar Pukur Road, Kolkata-700029",,VIII,kmcgov_councillors_jsp,"Debasish Kumar - member, Mayor-in-Council. Party AITC (verified leadership)."
86,SHRI SAURAV BASU (BAPPA),AITC*,"57E, Garcha Road, Kolkata-700019",,VIII,kmcgov_councillors_jsp,Party inferred (AITC*).
87,SMT. MANISHA BOSE,AITC*,"1A, Rajani Sen Road, Kolkata-700026",,VIII,kmcgov_councillors_jsp,Party inferred (AITC*).
88,SMT. MALA ROY,AITC,"2B, Bowali Mondal Road, Kolkata-700026",,VIII,kmcgov_councillors_jsp,"Mala Roy - MP (Kolkata Dakshin) & councillor; KMC Chairperson. Party AITC (verified)."
89,SMT. MAMATA MAJUMDAR,AITC*,"D-24, Charu Chandra Place, Kolkata-700033",,X,kmcgov_councillors_jsp,Party inferred (AITC*).
90,SMT. CHAITALI CHATTOPADHYAY,AITC*,"16A, Swinhoe Lane, Kolkata-700042",,VIII,kmcgov_councillors_jsp,Party inferred (AITC*).
91,SHRI BAISWANOR CHATTERJEE,AITC,"16A, Swinhoe Lane, Kolkata - 700042",,VIII,kmcgov_councillors_jsp,Party inferred; Borough VIII Chairman ('Baisnar Chattopadhyay', mob 9831769177).
92,SMT.MADHUCHHANDA DEB,AITC*,"21C, Gariahat Road (W), Kolkata - 700068",,X,kmcgov_councillors_jsp,Party inferred (AITC*).
93,SMT.MOUSUMI DAS,AITC*,"Sonajhuri (3rd Floor), 188/36A, Prince Anawar Shah Road, Kolkata - 700045",,X,kmcgov_councillors_jsp,Party inferred (AITC*).
94,SHRI SANDIP NANDI MAJUMDAR,AITC*,"W2B, 15/6, Phase- III, Golf Green, Kolkata- 700095",,X,kmcgov_councillors_jsp,Party inferred (AITC*).
95,SHRI TAPAN DASGUPTA,AITC,"Golf Green, Phase - 2, Block - 8, Flat - 6, Kolkata -700095",,X,kmcgov_councillors_jsp,Party inferred; Borough X Chairman (mob 9339722701).
96,SHRI VASUNDHARA GOSWAMI,AITC*,"2/106, Sree Colony, P.O: Regent Estate, Kolkata - 700092",,X,kmcgov_councillors_jsp,Party inferred (AITC*).
97,SHRI DEBABRATA MAJUMDER,AITC*,"3/11, Bijoygar, P.S.: Jadavpur, Kolkata - 700032",,X,kmcgov_councillors_jsp,Party inferred (AITC*).
98,SHRI ARUP CHAKRABORTY,AITC*,"I/24, Baghajatin Colony, Kolkata - 700092",,X,kmcgov_councillors_jsp,Party inferred (AITC*).
99,SMT.MITALI BANERJEE,AITC*,"1, Shaktigarh Colony, P.S.: Jadavpur, Kolkata - 700032",,X,kmcgov_councillors_jsp,Party inferred (AITC*).
100,SHRI PROSENJIT DAS,AITC*,"D/77A, Ramgarh Colony, Kolkata -700047",,X,kmcgov_councillors_jsp,Party inferred (AITC*).
101,SHRI BAPPADITYA DASGUPTA,AITC*,"J- 316, Baishnabghata Patuli upanagari, P.O.: Panchasayar, P.S.: Patuli, Kolkata - 700094",,XII,kmcgov_councillors_jsp,Party inferred (AITC*).
102,SMT.SIMA GHOSH (JAYA),AITC*,"D/95A, Baghajatin, Kolkata- 700032",,XII,kmcgov_councillors_jsp,Party inferred (AITC*).
103,SMT.NANDITA ROY,AITC*,"3, Avenue South, Santoshpur, Kolkata -700075",,XI,kmcgov_councillors_jsp,Party inferred (AITC*).
104,SHRI TARAKESWAR CHAKRABORTY,AITC,"23, Kalikumar Majumdar Road, 'Manihar Appt.' Flat 4B, Santoshpur, Kolkata -700075",,XI,kmcgov_councillors_jsp,Party inferred; Borough XI Chairman (mob 9831249249).
105,SMT.SUSHILA MONDAL,AITC*,"12/D, Mondal Para, Garfa, Kolkata -700078",,XII,kmcgov_councillors_jsp,Party inferred (AITC*).
106,SHRI ARIJIT DAS THAKUR (RANA),AITC*,"10/2, Rajan Kanta Das Road, P.O.: Haltu, Kolkata -700078",,XII,kmcgov_councillors_jsp,Party inferred (AITC*).
107,SMT.LIPIKA MANNA,AITC*,"A- 7/3, E. M. Bypass, Kolkata -700107",,XII,kmcgov_councillors_jsp,Party inferred (AITC*).
108,SHRI SUSHANTA KUMAR GHOSH,AITC,"159, Rajdanga Chakraborty Para, P.S.: Kasba, Kolkata -700107",,XII,kmcgov_councillors_jsp,Party inferred; Borough XII Chairman ('Susanta Kumar Ghosh', mob 9830175740).
109,SMT.ANANYA BANERJEE,AITC*,"1008, Chak Garia West, Kolkata - 700094",,XII,kmcgov_councillors_jsp,Party inferred (AITC*).
110,SHRI SWARAJ KUMAR MONDAL,AITC*,"115, Srirampur Road (N), Garia, Kolkata -700084",,XI,kmcgov_councillors_jsp,Party inferred (AITC*).
111,SHRI SANDIP DAS,AITC*,"K- 92, Kamdohari Bose Para, P.O.: Garia, Kolkata - 700084",,XI,kmcgov_councillors_jsp,Party inferred (AITC*).
112,SHRI GOPAL ROY,AITC*,"37, Bashdroni Govt. Colony, K.M.C. Regent Park, Kolkata - 700070",,XI,kmcgov_councillors_jsp,Party inferred (AITC*).
113,SMT.ANITA KAR MAJUMDAR SIL,AITC*,"19,Bansdroni Rifle (W), K. M. C. Regent Park, Kolkata - 700070",,XI,kmcgov_councillors_jsp,Party inferred (AITC*).
114,SHRI BISWAJIT MANDAL,AITC*,"119, Bishnupally, P.O.: Purbaputiary, Kolkata -700093",,XI,kmcgov_councillors_jsp,Party inferred (AITC*).
115,SMT.RATNA SUR,AITC*,"5/236, Paschim Putiary, Kolkata - 700071",,XIII,kmcgov_councillors_jsp,Party inferred (AITC*).
116,SMT.KRISHNA SINGH,AITC*,"40, Jyotish Roy Road, Kolkata - 700053",,XIII,kmcgov_councillors_jsp,Party inferred (AITC*).
117,SHRI AMIT SINGH,AITC*,"40, Jyotish Roy Road, Kolkata - 700053",,XIII,kmcgov_councillors_jsp,Party inferred (AITC*).
118,SHRI TARAK SINGH,AITC,"40, Jyotish Roy Road, Kolkata - 700053",,XIII,kmcgov_councillors_jsp,"Tarak Singh - member, Mayor-in-Council. Party AITC."
119,SMT.KAKALI BAG,AITC*,"86, S. N. Roy Road Kolkata - 700038",,XIII,kmcgov_councillors_jsp,Party inferred (AITC*).
120,SHRI SUSANTA GHOSH (BUA),AITC,"71/2, Satyen Roy Road, Behala, Kolkata -700034",,XIII,kmcgov_councillors_jsp,Party inferred; Borough XIII Chairman ('Susanta Ghosh', mob 9830096296).
121,SHRI RUPAK GANGULY,AITC*,"15/52, Banamali Ghoshal Lane, Behala, Kolkata -700034",,XIV,kmcgov_councillors_jsp,Party inferred (AITC*).
122,SMT.SOMA CHAKRABORTY,AITC*,"39, Mahatma Gandhi Road, P.S.: Haridevpur, Kolkata - 700082",,XIII,kmcgov_councillors_jsp,Party inferred (AITC*).
123,SHRI SUDIP POLLEY,AITC*,"31, Santosh Roy Road, Barish, P.S.: Thakurpukur, Kolkata - 700008",,XVI,kmcgov_councillors_jsp,Party inferred (AITC*).
124,SHRI RAJIB KUMAR DAS,AITC*,"165/3A, D.H. Road, Thakurpukur, Kolkata - 700063",,XVI,kmcgov_councillors_jsp,Party inferred (AITC*).
125,SMT.CHHANDA SARKAR,AITC*,"32, Sreedurga Pally, Dakshin Behala Road, Kolkata - 700061",,XVI,kmcgov_councillors_jsp,Party inferred (AITC*).
126,SHRI GHANASREE BAGH,AITC*,"210/3/2,Diamond Harbour Road,P.O. & P.S: Thakurpukur, Kolkata - 700063",,XVI,kmcgov_councillors_jsp,Party inferred (AITC*).
127,SMT.MALOBIKA BAIDYA,AITC*,"21, Shibrampur Bye Lane, Nivedita Park, Sarsuna, Kolkata - 700061",,XIV,kmcgov_councillors_jsp,Party inferred (AITC*).
128,SHRI PARTHA SARKAR,AITC*,"57, Parnashree Pally, Kolkata - 700060",,XIV,kmcgov_councillors_jsp,Party inferred (AITC*).
129,SMT.SANHITA DAS,AITC*,"2/129A, Mahendra Banerjee Road, Kolkata - 700060",,XIV,kmcgov_councillors_jsp,Party inferred (AITC*).
130,SHRI AVIJIT MUKHERJEE,AITC*,"80, Brahma Samaj Road, Behala, Kolkata - 700034",,XIV,kmcgov_councillors_jsp,Party inferred (AITC*).
131,SMT.RATNA CHATTERJEE,AITC*,"36, Maharani Indira Devi Road, Kolkata - 700060",,XIV,kmcgov_councillors_jsp,Party inferred (AITC*).
132,SMT.SANCHITA MITRA,AITC*,"P-263/4, upen Banerjee Road, Kolkata -700060",,XIV,kmcgov_councillors_jsp,Party inferred (AITC*).
133,SHRI RANAJIT SHIL,AITC,"4th Floor, Laxmi Narayan Villa, N-294, Fathepur, 2nd Lane, Kolkata- 700024",,XV,kmcgov_councillors_jsp,Party inferred; Borough XV Chairman ('Ranjit Shil', mob 9674670255).
134,SHAMS IQBAL,AITC*,"B-43, Irongata Road, Garden Reach, Kolkata - 700024",,XV,kmcgov_councillors_jsp,Party inferred (AITC*).
135,RUBINA NAAZ,AITC*,"Q- 292, Mudiali Road, P.S.: Metiaburuz, P.O.: Garden Reach, Kolkata - 700024",,XV,kmcgov_councillors_jsp,Party inferred (AITC*).
136,SHAMSUZZAMAN ANSARI,AITC*,"Q- 292, Mudiali Road, P.S.: Metiaburuz, P.O.: Garden Reach, Kolkata - 700024",,XV,kmcgov_councillors_jsp,Party inferred (AITC*).
137,WASIM ANSARI,AITC*,"R- 101, S.A Faqooque Road, P.O.: Garden Reach, Metiabruz, Kolkata - 700024",,XV,kmcgov_councillors_jsp,Party inferred (AITC*).
138,FARIDA PARVIN,AITC*,"X- 11, S.A Faruqee Road, P.O.:Bartala, P.S: Nadial, Kolkata - 700018",,XV,kmcgov_councillors_jsp,Party inferred (AITC*).
139,SK. MUSHTAQUE AHAMED (BACHCHU),AITC*,"V-126/1, S.A. Farooquie Road, P.S.:Rajbagan, Kolkata -700018",,XV,kmcgov_councillors_jsp,Party inferred (AITC*).
140,ABU MD. TARIK,AITC*,"Y-187, Kanthal Beria Bey Lane, Kolkata - 700018",,XV,kmcgov_councillors_jsp,Party inferred (AITC*).
141,SMT.PURBASA NASKAR,AITC*,"Z- 3/554, Mestry Ghat Road, P.S.: Nadial, Kolkata - 700044",,XV,kmcgov_councillors_jsp,Party inferred (AITC*).
142,SHRI RAGHUNATH PATRA,AITC*,"2/13, Darirchak, P.O.: R. C. Thakurani, P.S: Haridevpur, Kolkata - 700104",,XVI,kmcgov_councillors_jsp,Party inferred (AITC*).
143,SMT.CHRISTINA BISWAS,AITC*,"A-17, Dimond Park, P.O.: Joka, P.S.: Haridevpur, Kolkata - 700104",,XVI,kmcgov_councillors_jsp,Party inferred (AITC*).
144,SMT.SHEFALI PRAMANIK,AITC*,"2, Pramanik para, B.H. Road, P.O.: Joka, P.S.: Thakurpukur, Kolkata - 700104",,XVI,kmcgov_councillors_jsp,Party inferred (AITC*).
